Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
QAUE,25Q700,"READY, SET, GROW CHILD CENTER, LLC.",13616 31ST ROAD,11354,13616 31ST ROAD 11354,FY15,3.2
K446,23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,76 RIVERDALE AVENUE,11212,76 RIVERDALE AVENUE 11212,FY13,3.2
QAOQ,27Q700,ROCKAWAY CHILD CARE CENTER,1466 BEACH CHANNEL DR.,11691,1466 BEACH CHANNEL DR. 11691,FY15,3.2
KAJW,17K700,ST FRANCIS OF ASSISI,400 LINCOLN ROAD,11225,400 LINCOLN ROAD 11225,FY15,3.2
KBLU,14K700,STAGG STREET CENTER FOR CHILDREN,77 STAGG STREET,11206,77 STAGG STREET 11206,FY15,3.2
XAQY,11X700,SUSAN WAGNER VICTORY,3440 WHITE PLAINS ROAD,10467,3440 WHITE PLAINS ROAD 10467,FY15,3.2
K180,20K180,THE SEEALL ACADEMY,5601 16 AVENUE,11204,5601 16 AVENUE 11204,FY13,3.2
MANK,05M700,"URBAN CONCEPTS OF NY-ROUND THE CLOCK NURSERY, INC.",301 WEST 130TH STREET,10027,301 WEST 130TH STREET 10027,FY13,3.2
MASA,05M700,ADDIE MAE COLLINS 3,2322 THIRD AVENUE,10035,2322 THIRD AVENUE 10035,FY14,3.3
KBES,32K700,BUSHWICK UNITED HDFC 6,200 CENTRAL AVENUE,11221,200 CENTRAL AVENUE 11221,FY14,3.3
QBGJ,29Q700,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER,193-25 JAMAICA AVENUE,11423,193-25 JAMAICA AVENUE 11423,FY14,3.3
KASG,17K700,EDWARDS L. CLEAVELAND,1185 PARK PLACE,11213,1185 PARK PLACE 11213,FY15,3.3
KAFB,17K700,EPIPHANY LUTHERAN SCHOOL,721 LINCOLN PL,11216,721 LINCOLN PL 11216,FY15,3.3
KBQX,22K700,GET SET KINDERGARTEN SCHOOL SITE - CORTELYOU,1919 CORTELYOU ROAD,11226,1919 CORTELYOU ROAD 11226,FY15,3.3
MAPM,02M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 2,60 CATHERINE STREET,10038,60 CATHERINE STREET 10038,FY14,3.3
KAWC,15K700,"HANOVER PLACE CHILD CARE CENTER, LLC",15 HANOVER PLACE,11201,15 HANOVER PLACE 11201,FY13,3.3
XANU,09X700,HELP II,285 EAST 171ST STREET,10457,285 EAST 171ST STREET 10457,FY15,3.3
XAKQ,12X700,HELP III,785 CROTONA PARK NORTH,10460,785 CROTONA PARK NORTH 10460,FY14,3.3
QBDA,28Q700,HIGHLAND ACADEMICS,162-10 HIGHLAND AVENUE,11432,162-10 HIGHLAND AVENUE 11432,FY15,3.3
KCJQ,22K700,INITIAL STEPS CHILD DEVELOPMENT CENTER,3003 GLENWOOD ROAD,11210,3003 GLENWOOD ROAD 11210,FY15,3.3
XAVR,07X700,JOAN GANZ COONEY EARLY LEARNING PROGRAM,436 EAST 149TH STREET,10455,436 EAST 149TH STREET 10455,FY15,3.3
QALD,26Q700,KIDDIE ACADEMY OF LITTLE NECK,25220 NORTHERN BOULEVARD3RD FLOOR,11362,25220 NORTHERN BOULEVARD3RD FLOOR 11362,FY13,3.3
XAOR,10X700,KINGSBRIDGE MONTESSORI SCHOOL,2500 JEROME AVENUE,10468,2500 JEROME AVENUE 10468,FY15,3.3
XAQZ,09X700,MID BRONX CCRP ECC 1,1125 GRAND CONCOURSE,10452,1125 GRAND CONCOURSE 10452,FY13,3.3
KATZ,21K700,NEPTUNE AVENUE HEAD START,293 NEPTUNE AVENUE,11235,293 NEPTUNE AVENUE 11235,FY15,3.3
X001,07X001,P.S. 001 COURTLANDT SCHOOL,335 EAST 152 STREET,10451,335 EAST 152 STREET 10451,FY15,3.3
M005,06M005,P.S. 005 ELLEN LURIE,3703 TENTH AVENUE,10034,3703 TENTH AVENUE 10034,FY15,3.3
M034,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,730 EAST 12 STREET,10009,730 EAST 12 STREET 10009,FY13,3.3
Q115,26Q115,P.S. 115 GLEN OAKS,80-51 261 STREET,11004,80-51 261 STREET 11004,FY13,3.3
K121,21K121,P.S. 121 NELSON A. ROCKEFELLER,5301 20 AVENUE,11204,5301 20 AVENUE 11204,FY15,3.3
X146,08X146,P.S. 146 EDWARD COLLINS,968 CAULDWELL AVENUE,10456,968 CAULDWELL AVENUE 10456,FY15,3.3
M198,02M198,P.S. 198 ISADOR E. IDA STRAUS,1700 3 AVENUE,10128,1700 3 AVENUE 10128,FY15,3.3
X212,12X212,P.S. 212,1180 TINTON AVENUE,10456,1180 TINTON AVENUE 10456,FY15,3.3
K262,16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,500 MACON STREET,11233,500 MACON STREET 11233,FY15,3.3
X274,09X274,P.S. 274 THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,275 HARLEM RIVER PARK BRIDGE,10453,275 HARLEM RIVER PARK BRIDGE 10453,FY14,3.3
K329,21K329,P.S. 329 SURFSIDE,2929 WEST 30 STREET,11224,2929 WEST 30 STREET 11224,FY15,3.3
K377,32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,200 WOODBINE STREET,11221,200 WOODBINE STREET 11221,FY15,3.3
K397,17K397,P.S. 397 FOSTER-LAURIE,490 FENIMORE STREET,11203,490 FENIMORE STREET 11203,FY15,3.3
K137,23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,121 SARATOGA AVENUE,11233,121 SARATOGA AVENUE 11233,FY15,3.3
QALW,24Q700,PEEK-A-BOO! LEARNING CENTER,75-02 51ST AVENUE,11373,75-02 51ST AVENUE 11373,FY13,3.3
KCKG,19K700,ROCKGATE DAY CARE CENTER 1,770-784 GLENMORE AVE,11208,770-784 GLENMORE AVE 11208,FY15,3.3
XAVD,10X700,TENDER TOTS DECATUR,3322 DECATUR AVENUE,10467,3322 DECATUR AVENUE 10467,FY14,3.3
KBLM,13K700,"THE SALVATION ARMY, BEDFORD",110 KOSCIUSKO ST,11216,110 KOSCIUSKO ST 11216,FY15,3.3
XARN,09X700,TRABAJAMOS COMMUNITY HEAD START,1905 MORRIS AVENUE,10453,1905 MORRIS AVENUE 10453,FY15,3.3
KCJD,19K700,URBAN STRATEGIES ATKINS AVE,255 ATKINS AVENUE,11208,255 ATKINS AVENUE 11208,FY15,3.3
K636,16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,280 HART STREET,11206,280 HART STREET 11206,FY13,3.3
KCHT,19K700,"BAYBEE LOUNGE DAYCARE, INC.",2745 ATLANTIC AVENUE,11207,2745 ATLANTIC AVENUE 11207,FY15,3.4
KBNN,16K700,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,971 DEKALB AVENUE,11221,971 DEKALB AVENUE 11221,FY14,3.4
XAVZ,12X700,BRIGHTSIDE ACADEMY - SOUTHERN 2,1778 SOUTHERN BOULEVARD,10460,1778 SOUTHERN BOULEVARD 10460,FY15,3.4
KBYQ,20K700,BUMBLE BEES R US 8,4301 10TH AVENUE,11219,4301 10TH AVENUE 11219,FY14,3.4
MAPY,01M700,GRAND ST SETTLEMENT DUAL CENTER #1,60 ESSEX STREET,10002,60 ESSEX STREET 10002,FY14,3.4
MASU,01M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 5,253 SOUTH STREET,10002,253 SOUTH STREET 10002,FY14,3.4
XANI,08X700,IVY LEAGUE EARLY LEARNING ACADEMY,4022 EAST TREMONT AVENUE,10465,4022 EAST TREMONT AVENUE 10465,FY15,3.4
XANT,09X700,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,1240 WEBSTER AVENUE,10456,1240 WEBSTER AVENUE 10456,FY14,3.4
MAVQ,03M700,MABEL BARRETT FITZGERALD DCC,243 WEST 64TH STREET,10023,243 WEST 64TH STREET 10023,FY14,3.4
QANR,24Q700,MALCOLM X DAY CARE,11112 NORTHERN BOULEVARD,11368,11112 NORTHERN BOULEVARD 11368,FY14,3.4
KBJI,14K700,MARCY CHILDREN'S CENTER,494 MARCY AVENUE,11206,494 MARCY AVENUE 11206,FY14,3.4
K005,16K005,P.S. 005 DR. RONALD MCNAIR,820 HANCOCK STREET,11233,820 HANCOCK STREET 11233,FY15,3.4
X025,07X025,P.S. 025 BILINGUAL SCHOOL,811 EAST 149 STREET,10455,811 EAST 149 STREET 10455,FY13,3.4
X059,10X059,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,2185 BATHGATE AVENUE,10457,2185 BATHGATE AVENUE 10457,FY13,3.4
X072,08X072,P.S. 072 DR. WILLIAM DORNEY,2951 DEWEY AVENUE,10465,2951 DEWEY AVENUE 10465,FY15,3.4
K138,17K138,P.S. 138 BROOKLYN,760 PROSPECT PLACE,11216,760 PROSPECT PLACE 11216,FY13,3.4
Q148,30Q148,P.S. 148 QUEENS,89-02 32 AVENUE,11369,89-02 32 AVENUE 11369,FY13,3.4
Q151,30Q151,P.S. 151 MARY D. CARTER,50-05 31 AVENUE,11377,50-05 31 AVENUE 11377,FY15,3.4
X157,07X157,P.S. 157 GROVE HILL,757 CAULDWELL AVENUE,10456,757 CAULDWELL AVENUE 10456,FY13,3.4
X161,07X161,P.S. 161 PONCE DE LEON,628 TINTON AVENUE,10455,628 TINTON AVENUE 10455,FY13,3.4
K161,17K161,P.S. 161 THE CROWN,330 CROWN STREET,11225,330 CROWN STREET 11225,FY15,3.4
K191,17K191,P.S. 191 PAUL ROBESON,1600 PARK PLACE,11233,1600 PARK PLACE 11233,FY15,3.4
Q201,25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,65-11 155 STREET,11367,65-11 155 STREET 11367,FY13,3.4
X211,12X211,P.S. 211,1919 PROSPECT AVENUE,10457,1919 PROSPECT AVENUE 10457,FY15,3.4
K270,13K270,P.S. 270 JOHANN DEKALB,241 EMERSON PLACE,11205,241 EMERSON PLACE 11205,FY15,3.4
R065,31R065,P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,98 GRANT STREET,10301,98 GRANT STREET 10301,FY13,3.4
XAXA,10X700,REACH ONE TO TEACH ONE,5480 BROADWAY,10463,5480 BROADWAY 10463,FY15,3.4
QAMV,30Q700,SCO FAMILY OF SERVICES JEROME HARDEMAN ECE,29-49 GILLMORE STREET,11369,29-49 GILLMORE STREET 11369,FY14,3.4
XAJJ,09X700,SHARON BAPTIST - CENTER II,279 EAST BURNSIDE AVENUE,10457,279 EAST BURNSIDE AVENUE 10457,FY15,3.4
KBON,17K700,THE CHILDREN'S CENTER @ SUNY BROOKLYN,440 LENOX ROAD,11203,440 LENOX ROAD 11203,FY14,3.4
M315,01M315,THE EAST VILLAGE COMMUNITY SCHOOL,610 EAST 12 STREET,10009,610 EAST 12 STREET 10009,FY13,3.4
XASI,11X700,THE GARVEY SCHOOL,4120 HUTCHINSON RIVER PARKWAY,10475,4120 HUTCHINSON RIVER PARKWAY 10475,FY15,3.4
XAHH,10X700,TRABAJAMOS COMMUNITY HEAD START,1997 BATHGATE AVENUE,10457,1997 BATHGATE AVENUE 10457,FY14,3.4
MBFX,05M700,URBAN CONCEPTS/ROUND THE CLOCK,300 W 145 STREET,10039,300 W 145 STREET 10039,FY15,3.4
XAPN,11X700,1199 FUTURE OF AMERICA LEARNING CENTER,2500 CRESTON AVENUE,10468,2500 CRESTON AVENUE 10468,FY14,3.5
RAEW,31R700,"4 ANGELS DAY CARE, INC.",245 SIMONSON AVENUE,10303,245 SIMONSON AVENUE 10303,FY14,3.5
KCHM,13K700,ALONZO A. DAUGHTRY MEMORIAL DAY CARE CENTER INC,565 BALTIC STREET,11217,565 BALTIC STREET 11217,FY15,3.5
KCHJ,17K700,"ARISTA PREP, INC.",221 KINGSTON AVENUE,11213,221 KINGSTON AVENUE 11213,FY15,3.5
KBTE,32K700,BRIGHTSIDE ACADEMY - BROADWAY,1491 BROADWAY,11221,1491 BROADWAY 11221,FY14,3.5
KBRA,32K700,BUSHWICK UNITED HDFC 7,600 HART STREET,11221,600 HART STREET 11221,FY14,3.5
KBKH,14K700,BUSHWICK UNITED HDFC 9,741 FLUSHING AVENUE,11206,741 FLUSHING AVENUE 11206,FY14,3.5
K401,23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,51 CHRISTOPHER AVENUE,11212,51 CHRISTOPHER AVENUE 11212,FY13,3.5
XAFP,07X700,EAST SIDE HOUSE,201 SAINT ANNS AVENUE,10454,201 SAINT ANNS AVENUE 10454,FY14,3.5
MAPA,05M700,EPISCOPAL SOCIAL SERVICES HEAD START (FIFTH AVENUE),2289 FIFTH AVENUE,10037,2289 FIFTH AVENUE 10037,FY14,3.5
KBOW,18K700,FRIENDS OF CROWN HEIGHTS,141 EAST 40TH STREET,11203,141 EAST 40TH STREET 11203,FY15,3.5
KCEH,13K700,IMAGINE BROOKLYN HEIGHTS,50 MONROE PLACE,11201,50 MONROE PLACE 11201,FY14,3.5
QATX,25Q700,IMMANUEL CREATIVE,16315 OAK AVENUE,11358,16315 OAK AVENUE 11358,FY15,3.5
XAPT,11X700,"LITTLE STARS SCHOOL, INC.",4063 EDSON AVENUE,10466,4063 EDSON AVENUE 10466,FY14,3.5
QAUJ,25Q700,MARTIN L. KING JR. MEM DCC,3606 PRINCE STREET,11354,3606 PRINCE STREET 11354,FY15,3.5
XAIE,09X700,MID BRONX CCRP ECC 3,1360 OGDEN AVENUE,10452,1360 OGDEN AVENUE 10452,FY14,3.5
MBHV,05M700,MOREAU LMSW CHILDREN & FAMILY SERVICES PC,764 ST. NICHOLAS AVENUE,10031,764 ST. NICHOLAS AVENUE 10031,FY15,3.5
QADZ,28Q700,OUR SAVIOUR LUTHERAN SCHOOL,6433 WOODHAVEN BOULEVARD,11374,6433 WOODHAVEN BOULEVARD 11374,FY13,3.5
K029,15K029,P.S. 029 JOHN M. HARRIGAN,425 HENRY STREET,11201,425 HENRY STREET 11201,FY15,3.5
X063,09X063,P.S. 063 AUTHOR'S ACADEMY,1260 FRANKLIN AVENUE,10456,1260 FRANKLIN AVENUE 10456,FY15,3.5
K118,15K118,P.S. 118 MAURICE SENDAK SCHOOL,211 8TH STREET,11215,211 8TH STREET 11215,FY14,3.5
M137,01M137,P.S. 137 JOHN L. BERNSTEIN,293 EAST BROADWAY,10002,293 EAST BROADWAY 10002,FY13,3.5
X138,08X138,P.S. 138 SAMUEL RANDALL,2060 LAFAYETTE AVENUE,10473,2060 LAFAYETTE AVENUE 10473,FY13,3.5
X154,07X154,P.S. 154 JONATHAN D. HYATT,333 EAST 135 STREET,10454,333 EAST 135 STREET 10454,FY15,3.5
Q156,29Q156,P.S. 156 LAURELTON,229-02 137 AVENUE,11413,229-02 137 AVENUE 11413,FY15,3.5
M158,02M158,P.S. 158 BAYARD TAYLOR,1458 YORK AVENUE,10075,1458 YORK AVENUE 10075,FY15,3.5
M163,03M163,P.S. 163 ALFRED E. SMITH,163 WEST 97 STREET,10025,163 WEST 97 STREET 10025,FY13,3.5
K188,21K188,P.S. 188 MICHAEL E. BERDY,3314 NEPTUNE AVENUE,11224,3314 NEPTUNE AVENUE 11224,FY15,3.5
K193,22K193,P.S. 193 GIL HODGES,2515 AVENUE L,11210,2515 AVENUE L 11210,FY13,3.5
KCFZ,15K700,PRE-PAVE,732 HENRY STREET,11231,732 HENRY STREET 11231,FY14,3.5
XAKR,08X700,PROSPECT EARLY CHILDHOOD CENTER,730 KELLY STREET,10455,730 KELLY STREET 10455,FY14,3.5
XAHA,09X700,READY SET LEARN,3480 THIRD AVENUE,10456,3480 THIRD AVENUE 10456,FY14,3.5
XALJ,10X700,"SAINT JEMUEL GROUP FAMILY DAY CARE, INC.",2836 WEBB AVE,10468,2836 WEBB AVE 10468,FY14,3.5
QAXO,28Q700,"SANDRA'S SUNFLOWER CHILD CARE, INC.",90-16 SUTPHIN BOULEVARD,11435,90-16 SUTPHIN BOULEVARD 11435,FY15,3.5
QAMU,29Q700,SARATOGA EARLY CHILDHOOD EDUCATION CENTER,17515 ROCKAWAY BOULEVARD,11434,17515 ROCKAWAY BOULEVARD 11434,FY14,3.5
KCGN,23K700,SCO FAMILY OF SERVICES,774 SARATOGA AVENUE,11212,774 SARATOGA AVENUE 11212,FY15,3.5
QAZI,27Q700,SHELDON R. WEAVER CHILD CARE CENTER,72-05 BEACH CHANNEL DR.,11692,72-05 BEACH CHANNEL DR. 11692,FY15,3.5
M072,04M072,THE LEXINGTON ACADEMY,131 EAST 104 STREET,10029,131 EAST 104 STREET 10029,FY15,3.5
MABT,05M700,THE STOREFRONT ACADEMY HARLEM,70 EAST 129TH STREET,10035,70 EAST 129TH STREET 10035,FY14,3.5
KCJR,22K700,A TO Z DAY CARE CENTER,3053 AVENUE U,11229,3053 AVENUE U 11229,FY15,3.6
KBBY,18K700,BE ABOVE #27,779 EAST 49 STREET,11203,779 EAST 49 STREET 11203,FY14,3.6
MAUZ,03M700,BLOOMINGDALE FAMILY PROGRAM 1,125 WEST 109TH STREET,10025,125 WEST 109TH STREET 10025,FY15,3.6
KBPA,19K700,BOULEVARD NURSERY SCHOOL,2150 LINDEN BOULEVARD,11207,2150 LINDEN BOULEVARD 11207,FY14,3.6
XAWZ,08X700,BRIGHTSIDE ACADEMY - INTERVALE,960 INTERVALE AVENUE,10459,960 INTERVALE AVENUE 10459,FY15,3.6
MAUK,06M700,CHILDREN'S AID SOCIETY,93 NAGLE AVENUE,10040,93 NAGLE AVENUE 10040,FY14,3.6
KBJF,14K700,COOPER PARK CHILD CARE CENTER,292 FROST STREET,11222,292 FROST STREET 11222,FY14,3.6
KCJZ,22K700,COPO PREK PROGRAM,1083 CONEY ISLAND AVE,11230,1083 CONEY ISLAND AVE 11230,FY15,3.6
MAXC,05M700,ECDO CHILD START CENTER,249 WEST 144TH STREET,10030,249 WEST 144TH STREET 10030,FY15,3.6
KBQN,21K700,FRIENDS OF CROWN HEIGHTS 6,49 AVENUE W,11223,49 AVENUE W 11223,FY15,3.6
MBBJ,06M700,FT GEORGE CHILD  CENTER 1,601 W 186 ST,10033,601 W 186 ST 10033,FY15,3.6
KAYS,17K700,HAWTHORNE CORNERS DAY CARE CENTER,1950 BEDFORD AVENUE,11225,1950 BEDFORD AVENUE 11225,FY15,3.6
KAFZ,21K700,HIDEC,1401 AVENUE I,11230,1401 AVENUE I 11230,FY15,3.6
XAKA,12X700,INTERVALE (CENTER #2),1054 INTERVALE AVENUE,10459,1054 INTERVALE AVENUE 10459,FY15,3.6
KCIX,21K700,IP KIDS,2631 86 STREET,11223,2631 86 STREET 11223,FY15,3.6
QAXL,29Q700,LAURELTON DAY CARE,14119 224TH STREET,11413,14119 224TH STREET 11413,FY15,3.6
MAMZ,02M700,MANHATTAN NURSERY SCHOOL,38 WEST 32ND STREET SUITE 306,10001,38 WEST 32ND STREET SUITE 306 10001,FY13,3.6
MAVY,04M700,METRO NORTH CHILDCARE CENTER,304 EAST 102ND STREET,10029,304 EAST 102ND STREET 10029,FY15,3.6
X555,09X555,MOUNT EDEN CHILDREN'S ACADEMY,1501 JEROME AVENUE,10452,1501 JEROME AVENUE 10452,FY13,3.6
Q020,25Q020,P.S. 020 JOHN BOWNE,142-30 BARCLAY AVENUE,11355,142-30 BARCLAY AVENUE 11355,FY15,3.6
K045,32K045,P.S. 045 HORACE E. GREENE,84 SCHAEFER STREET,11207,84 SCHAEFER STREET 11207,FY15,3.6
X073,09X073,P.S. 073 BRONX,1020 ANDERSON AVENUE,10452,1020 ANDERSON AVENUE 10452,FY15,3.6
K081,16K081,P.S. 081 THADDEUS STEVENS,990 DEKALB AVENUE,11221,990 DEKALB AVENUE 11221,FY13,3.6
K093,13K093,P.S. 093 WILLIAM H. PRESCOTT,31 NEW YORK AVENUE,11216,31 NEW YORK AVENUE 11216,FY13,3.6
Q132,29Q132,P.S. 132 RALPH BUNCHE,132-15 218 STREET,11413,132-15 218 STREET 11413,FY15,3.6
X160,11X160,P.S. 160,4140 HUTCHINSON RIVER PKWAY EA,10475,4140 HUTCHINSON RIVER PKWAY EA 10475,FY14,3.6
M180,03M180,P.S. 180 HUGO NEWMAN,370 WEST 120 STREET,10027,370 WEST 120 STREET 10027,FY15,3.6
X226,10X226,P.S. 226,1950 SEDGWICK AVENUE,10453,1950 SEDGWICK AVENUE 10453,FY13,3.6
K225,21K225,P.S. K225 - THE EILEEN E. ZAGLIN,1075 OCEAN VIEW AVENUE,11235,1075 OCEAN VIEW AVENUE 11235,FY13,3.6
XAQV,10X700,PAUL T. MATSON HEAD START 3,2431 MORRIS AVENUE,10468,2431 MORRIS AVENUE 10468,FY13,3.6
XADT,12X700,SAINT JOHN CHRYSOSTOM SCHOOL,1144 HOE AVENUE,10459,1144 HOE AVENUE 10459,FY15,3.6
XAOI,09X700,SHARON BAPTIST - CENTER IV,1925 BATHGATE AVENUE,10457,1925 BATHGATE AVENUE 10457,FY15,3.6
MAVK,03M700,THE CHILDREN'S AID SOCIET FREDERICK DOUGLASS EARLY CHILDHOOD PROGRAM,885 COLUMBUS AVENUE,10025,885 COLUMBUS AVENUE 10025,FY15,3.6
KBMU,15K700,ACE EARLY CHILDHOOD CENTER,199 14TH STREET2ND FLOOR,11215,199 14TH STREET2ND FLOOR 11215,FY15,3.7
XAMI,09X700,ALEENE LOGAN DAY CARE,1450 WEBSTER AVENUE,10456,1450 WEBSTER AVENUE 10456,FY14,3.7
QBHD,28Q700,ALL MY CHILDREN DAY CARE 3,6605 108TH STREET,11375,6605 108TH STREET 11375,FY14,3.7
KCKC,18K700,ALPHA CHRISTIAN ACADEMY,921 EAST 107TH STREET,11236,921 EAST 107TH STREET 11236,FY15,3.7
X077,10X077,BEDFORD PARK ELEMENTARY SCHOOL,3177 WEBSTER AVENUE,10467,3177 WEBSTER AVENUE 10467,FY15,3.7
KBAE,21K700,BLOCK INSTITUTE,133 27TH AVENUE,11214,133 27TH AVENUE 11214,FY13,3.7
KBXK,17K700,BRIGHTSIDE ACADEMY - CLARKSON,210 CLARKSON AVENUE,11226,210 CLARKSON AVENUE 11226,FY14,3.7
XAKE,12X700,BRONX RIVER EARLY LEARN CENTER,1555 EAST 174TH STREET,10472,1555 EAST 174TH STREET 10472,FY13,3.7
XAOD,09X700,BRONXWORKS,1130 GRAND CONCOURSE,10456,1130 GRAND CONCOURSE 10456,FY15,3.7
KBUL,20K700,BROOKLYN CHINESE AMERICAN ASSOCIATION,6409 20 AVENUE,11204,6409 20 AVENUE 11204,FY14,3.7
QAVD,27Q700,COMMUNITY AND FAMILY HEAD START,4105 BEACH CHANNEL DRIVE,11691,4105 BEACH CHANNEL DRIVE 11691,FY15,3.7
KBNP,16K700,COMMUNITY PARENTS HEAD START,90 CHAUNCEY STREET,11233,90 CHAUNCEY STREET 11233,FY15,3.7
XAMT,07X700,EAST SIDE HOUSE,375 EAST 143RD STREET,10454,375 EAST 143RD STREET 10454,FY13,3.7
XAMW,07X700,EAST SIDE HOUSE,200 ALEXANDER AVENUE,10454,200 ALEXANDER AVENUE 10454,FY15,3.7
MBGT,03M700,FINGER PAINTED HANDS,126 WEST 83RD STREET,10024,126 WEST 83RD STREET 10024,FY15,3.7
RADN,31R700,FOCH,195 GORDON STREET,10304,195 GORDON STREET 10304,FY15,3.7
KBSI,17K700,FRIENDS OF CROWN HEIGHTS 9,813 STERLING PLACE,11216,813 STERLING PLACE 11216,FY14,3.7
MAUW,02M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,77 MARKET STREET,10002,77 MARKET STREET 10002,FY14,3.7
QANU,24Q700,HAPPY DRAGON OF NEW YORK,8602 57TH AVENUE,11373,8602 57TH AVENUE 11373,FY13,3.7
KAXW,17K700,"HIGHLIGHTS ACADEMY, INC.",1688 PRESIDENT STREET,11213,1688 PRESIDENT STREET 11213,FY13,3.7
XABK,08X700,HOLY CROSS SCHOOL,1846 RANDALL AVENUE,10473,1846 RANDALL AVENUE 10473,FY15,3.7
MAMQ,02M700,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70TH STREET,10021,331 EAST 70TH STREET 10021,FY15,3.7
KBKE,32K700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 9,1175 GATES AVENUE,11221,1175 GATES AVENUE 11221,FY14,3.7
QARC,27Q700,LUCILLE ROSE DCC,148 BEACH 59TH ST,11692,148 BEACH 59TH ST 11692,FY15,3.7
XAOV,10X700,MARC ACADEMY AND FAMILY CENTER,2105 JEROME AVE,10453,2105 JEROME AVE 10453,FY14,3.7
QBGP,24Q700,MOVING UP CHILDREN CENTER,4069 94 STREET,11373,4069 94 STREET 11373,FY14,3.7
K532,17K532,NEW BRIDGES ELEMENTARY,1025 EASTERN PARKWAY,11213,1025 EASTERN PARKWAY 11213,FY15,3.7
X054,10X054,P.S. / I.S. 54,2703 WEBSTER AVENUE,10458,2703 WEBSTER AVENUE 10458,FY13,3.7
K023,14K023,P.S. 023 CARTER G. WOODSON,545 WILLOUGHBY AVENUE,11206,545 WILLOUGHBY AVENUE 11206,FY13,3.7
R044,31R044,P.S. 044 THOMAS C. BROWN,80 MAPLE PARKWAY,10303,80 MAPLE PARKWAY 10303,FY15,3.7
K146,15K146,P.S. 146,610 HENRY STREET,11231,610 HENRY STREET 11231,FY15,3.7
Q181,29Q181,P.S. 181 BROOKFIELD,148-15 230 STREET,11413,148-15 230 STREET 11413,FY15,3.7
X199,09X199,P.S. 199X - THE SHAKESPEARE SCHOOL,1449 SHAKESPEARE AVENUE,10452,1449 SHAKESPEARE AVENUE 10452,FY15,3.7
M212,02M212,P.S. 212 MIDTOWN WEST,328 WEST 48 STREET,10036,328 WEST 48 STREET 10036,FY15,3.7
Q223,27Q223,P.S. 223 LYNDON B. JOHNSON,125-20 SUTPHIN BOULEVARD,11434,125-20 SUTPHIN BOULEVARD 11434,FY15,3.7
K251,22K251,P.S. 251 PAERDEGAT,1037 EAST 54 STREET,11234,1037 EAST 54 STREET 11234,FY13,3.7
K307,13K307,P.S. 307 DANIEL HALE WILLIAMS,209 YORK STREET,11201,209 YORK STREET 11201,FY13,3.7
K319,14K319,P.S. 319,360 KEAP STREET,11211,360 KEAP STREET 11211,FY13,3.7
X340,10X340,P.S. 340,25 WEST 195 STREET,10468,25 WEST 195 STREET 10468,FY13,3.7
Q116,29Q116,PS/IS 116 WILLIAM C. HUGHLEY,107-25 WREN PLACE,11433,107-25 WREN PLACE 11433,FY13,3.7
Q316,27Q316,QUEENS EXPLORER'S ELEMENTARY,90-07 101ST AVENUE,11691,90-07 101ST AVENUE 11691,FY15,3.7
MBGR,02M700,RENANIM MANHATTAN,336 EAST 61ST STREET,10065,336 EAST 61ST STREET 10065,FY15,3.7
XAEB,10X700,ST. MARGARET OF CORTONA,452 WEST 260TH STREET,10471,452 WEST 260TH STREET 10471,FY15,3.7
XAVX,11X700,SUNSHINE DAYCARE OF WESTCHESTER VILLAGE,1564 ST. PETERS AVENUE,10461,1564 ST. PETERS AVENUE 10461,FY15,3.7
KBPD,19K700,SYLVIA KLEIN CHILD CARE CENTER,720 EUCLID AVENUE,11208,720 EUCLID AVENUE 11208,FY14,3.7
QANT,24Q700,THE CHILD CENTER OF NY 1,6002 ROOSEVELT AVENUE,11377,6002 ROOSEVELT AVENUE 11377,FY14,3.7
KBVE,19K700,URBAN STRATEGIES 3,1152 ELTON STREET,11239,1152 ELTON STREET 11239,FY15,3.7
XALA,11X700,WESTCHESTER TREMONT DCC,2547 EAST TREMONT AVENUE,10461,2547 EAST TREMONT AVENUE 10461,FY15,3.7
