Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
X333,08X333,P.S. 333 - THE MUSEUM SCHOOL,888 REV J A POLITE AVE,10459,888 REV J A POLITE AVE 10459,FY13,2.4
KBWT,14K700,OUR CHILDREN THE LEADERS OF TOMORROW 1,756 MYRTLE AVENUE,11206,756 MYRTLE AVENUE 11206,FY14,2.5
R004,31R004,P.S. 004 MAURICE WOLLIN,200 NEDRA LANE,10312,200 NEDRA LANE 10312,FY13,2.5
M011,02M011,P.S. 011 WILLIAM T. HARRIS,320 WEST 21 STREET,10011,320 WEST 21 STREET 10011,FY13,2.5
K026,16K026,P.S. 026 JESSE OWENS,1014 LAFAYETTE AVENUE,11221,1014 LAFAYETTE AVENUE 11221,FY13,2.5
K084,14K084,P.S. 084 JOSE DE DIEGO,250 BERRY STREET,11211,250 BERRY STREET 11211,FY15,2.5
M096,04M096,P.S. 096 JOSEPH LANZETTA,216 EAST 120 STREET,10035,216 EAST 120 STREET 10035,FY13,2.5
K255,22K255,P.S. 255 BARBARA REING SCHOOL,1866 EAST 17 STREET,11229,1866 EAST 17 STREET 11229,FY13,2.5
K398,17K398,P.S. 398 WALTER WEAVER,60 EAST 94 STREET,11212,60 EAST 94 STREET 11212,FY15,2.5
KCIY,21K700,"RONOMOZA, INC. / THE LEARNING EXPERIENCE",412 KINGS HIGHWAY,11223,412 KINGS HIGHWAY 11223,FY15,2.5
XAFL,11X700,THE GARVEY SCHOOL,950 BAYCHESTER AVENUE,10475,950 BAYCHESTER AVENUE 10475,FY15,2.5
KBSX,21K700,BE ABOVE 49,2221 AVENUE R,11229,2221 AVENUE R 11229,FY14,2.6
XAJK,07X700,BRIGHTSIDE ACADEMY - ST. ANN'S,780 ST ANNS AVE,10456,780 ST ANNS AVE 10456,FY14,2.6
XAUZ,09X700,BRONXWORKS,1472 MONTGOMERY AVENUE,10453,1472 MONTGOMERY AVENUE 10453,FY14,2.6
KBYN,15K700,BUMBLE BEES R US 2,76 LORRAINE STREET,11231,76 LORRAINE STREET 11231,FY14,2.6
KCJA,15K700,"LITTLE NEST COMMUNITY PLAYHOUSE, LLC",216 SEELEY STREET,11218,216 SEELEY STREET 11218,FY15,2.6
XAHD,09X700,MID BRONX CCRP ECC 4,1020 SUMMIT AVENUE,10452,1020 SUMMIT AVENUE 10452,FY14,2.6
K021,16K021,P.S. 021 CRISPUS ATTUCKS,180 CHAUNCEY STREET,11233,180 CHAUNCEY STREET 11233,FY13,2.6
K031,14K031,P.S. 031 SAMUEL F. DUPONT,75 MESEROLE AVENUE,11222,75 MESEROLE AVENUE 11222,FY13,2.6
K038,15K038,P.S. 038 THE PACIFIC,450 PACIFIC STREET,11217,450 PACIFIC STREET 11217,FY13,2.6
R057,31R057,P.S. 057 HUBERT H. HUMPHREY,140 PALMA DRIVE,10304,140 PALMA DRIVE 10304,FY13,2.6
X062,08X062,P.S. 062 INOCENSIO CASANOVA,660 FOX STREET,10455,660 FOX STREET 10455,FY13,2.6
X150,12X150,P.S. 150 CHARLES JAMES FOX,920 EAST 167 STREET,10459,920 EAST 167 STREET 10459,FY13,2.6
K256,13K256,P.S. 256 BENJAMIN BANNEKER,114 KOSCIUSKO STREET,11216,114 KOSCIUSKO STREET 11216,FY15,2.6
K276,18K276,P.S. 276 LOUIS MARSHALL,1070 EAST 83 STREET,11236,1070 EAST 83 STREET 11236,FY13,2.6
X277,07X277,P.S. 277,519 ST ANNS AVENUE,10455,519 ST ANNS AVENUE 10455,FY13,2.6
