Site ID,Site Name,Site Street Address,Site Zip Code,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
XAWX,FABIANA DAY CAY ACADEMY UNIVERSAL PRE K,937 TELLER AVENUE,10451,937 TELLER AVENUE 10451,FY15,3
KBWQ,FAMILY HEAD START CONEY ISLAND,2960 WEST 27TH STREET,11224,2960 WEST 27TH STREET 11224,FY15,4.7
MBGT,FINGER PAINTED HANDS,126 WEST 83RD STREET,10024,126 WEST 83RD STREET 10024,FY15,3.7
RADN,FOCH,195 GORDON STREET,10304,195 GORDON STREET 10304,FY15,3.7
KBYD,FOOTSTEPS CHILDCARE INC.,1125 BROADWAY,11221,1125 BROADWAY 11221,FY15,4.4
MAVX,FRANKLIN PLAZA,2081 SECOND AVENUE,10029,2081 SECOND AVENUE 10029,FY15,3.8
KBOW,FRIENDS OF CROWN HEIGHTS,141 EAST 40TH STREET,11203,141 EAST 40TH STREET 11203,FY15,3.5
KCHN,FRIENDS OF CROWN HEIGHTS,2805 NEWKIRK AVENUE,11226,2805 NEWKIRK AVENUE 11226,FY15,3.8
KBJS,FRIENDS OF CROWN HEIGHTS 10,1491 BEDFORD AVENUE,11216,1491 BEDFORD AVENUE 11216,FY14,3.9
KBKU,FRIENDS OF CROWN HEIGHTS 15,2505 PITKIN AVENUE,11208,2505 PITKIN AVENUE 11208,FY14,4
KBKC,FRIENDS OF CROWN HEIGHTS 16,668 LOGAN STREET,11208,668 LOGAN STREET 11208,FY14,4
KBLB,FRIENDS OF CROWN HEIGHTS 18,851 LIBERTY AVENUE,11208,851 LIBERTY AVENUE 11208,FY14,4.5
KBJR,FRIENDS OF CROWN HEIGHTS 19,370 NEW LOTS AVENUE,11207,370 NEW LOTS AVENUE 11207,FY14,4
KBOF,FRIENDS OF CROWN HEIGHTS 2,671 PROSPECT PLACE,11216,671 PROSPECT PLACE 11216,FY15,3.2
KBYM,FRIENDS OF CROWN HEIGHTS 26,20 SUTTER AVENUE,11212,20 SUTTER AVENUE 11212,FY14,4.3
KBKK,FRIENDS OF CROWN HEIGHTS 29,1435 PROSPECT PLACE,11213,1435 PROSPECT PLACE 11213,FY14,3.9
KBQN,FRIENDS OF CROWN HEIGHTS 6,49 AVENUE W,11223,49 AVENUE W 11223,FY15,3.6
KBSI,FRIENDS OF CROWN HEIGHTS 9,813 STERLING PLACE,11216,813 STERLING PLACE 11216,FY14,3.7
MASH,FRIENDS OF CROWN HEIGHTS DCC #28,3732 10TH AVENUE,10034,3732 10TH AVENUE 10034,FY14,3.9
KBJQ,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,921 HEGEMAN AVENUE,11208,921 HEGEMAN AVENUE 11208,FY14,4.3
KBEZ,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #11,995 CARROLL STREET,11225,995 CARROLL STREET 11225,FY14,3.2
KBRP,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #5,1886 NOSTRAND AVENUE,11226,1886 NOSTRAND AVENUE 11226,FY14,4.7
MBBJ,FT GEORGE CHILD  CENTER 1,601 W 186 ST,10033,601 W 186 ST 10033,FY15,3.6
MAXJ,FT GEORGE HEAD START CENTER # 1,1525 SAINT NICHOLAS AVENUE,10033,1525 SAINT NICHOLAS AVENUE 10033,FY15,4.5
XASE,FT. GEORGE UNIVERSAL PRE-K,489 ST. PAUL'S PLACE,10456,489 ST. PAUL'S PLACE 10456,FY15,4.3
XARC,FULTON (CENTER #4),1717 FULTON AVENUE,10457,1717 FULTON AVENUE 10457,FY15,3.9
KBXQ,"GAN, INC. - GAN JEWISH DAY CARE",2901 CAMPUS ROAD,11210,2901 CAMPUS ROAD 11210,FY15,4.6
QBJQ,GARDEN SCHOOL,78-02 NORTHERN BLVD.,11372,78-02 NORTHERN BLVD. 11372,FY15,4.6
MAUU,GARMENT INDUSTRY DAY CARE CENTER,115 CHRYSTIE STREET,10002,115 CHRYSTIE STREET 10002,FY15,4.2
KBPQ,GENERATION 21DAY CARE,6709 19TH AVENUE,11204,6709 19TH AVENUE 11204,FY14,3.8
KBQW,GET SET KINDERGARTEN SCHOOL - LINDEN,623 LINDEN BOULEVARD,11203,623 LINDEN BOULEVARD 11203,FY14,4.3
KBQX,GET SET KINDERGARTEN SCHOOL SITE - CORTELYOU,1919 CORTELYOU ROAD,11226,1919 CORTELYOU ROAD 11226,FY15,3.3
MAQL,GODDARD RIVERSIDE DAY CARE CENTER@ WEST 84TH ST 3,26 WEST 84TH STREET,10024,26 WEST 84TH STREET 10024,FY14,4.5
MASP,GODDARD RIVERSIDE HEAD START CENTER @ W 95TH ST 4,70 WEST 95TH STREET,10025,70 WEST 95TH STREET 10025,FY14,4.6
MAQH,GODDARD RIVERSIDE PRESCHOOL @W83RD 2,128 WEST 83RD STREET,10024,128 WEST 83RD STREET 10024,FY14,4.3
Q333,GOLDIE MAPLE ACADEMY,3-65 BEACH 56 STREET,11692,3-65 BEACH 56 STREET 11692,FY15,2.1
KAFO,GOOD SHEPHERD SCHOOL,1943 BROWN STREET,11229,1943 BROWN STREET 11229,FY15,3.2
QAEG,GRACE LUTHERAN SCHOOL,3120 21ST AVENUE,11105,3120 21ST AVENUE 11105,FY14,5.9
KBLY,GRAHAM CHILD CARE CENTER,222 GRAHAM AVENUE,11206,222 GRAHAM AVENUE 11206,FY14,4.3
MARJ,GRAHAM WINDHAM DCC,669 LENOX AVENUE,10037,669 LENOX AVENUE 10037,FY14,4.1
MAQG,GRAMERCY SCHOOL,460 WEST 34TH STREET2 FLOOR,10001,460 WEST 34TH STREET2 FLOOR 10001,FY15,4.9
MAPY,GRAND ST SETTLEMENT DUAL CENTER #1,60 ESSEX STREET,10002,60 ESSEX STREET 10002,FY14,3.4
KBLP,GRAND STREET SETTLEMENT DUAL #3,319 STANHOPE STREET,11237,319 STANHOPE STREET 11237,FY14,4.5
X449,GRANT AVENUE ELEMENTARY SCHOOL,250 EAST 164 STREET,10456,250 EAST 164 STREET 10456,FY15,4.1
MARD,GRANT DAY CARE CENTER,1299 AMSTERDAM AVENUE,10027,1299 AMSTERDAM AVENUE 10027,FY14,3.9
KCIS,GREATER BRIGHT LIGHT LEARNING CENTER,1320 SUTTER AVE,11208,1320 SUTTER AVE 11208,FY15,3.1
QAMO,GREATER RIDGEWOOD,5903 SUMMERFIELD STREET,11385,5903 SUMMERFIELD STREET 11385,FY15,4.9
XAHB,GROW WITH US (SUSAN E. WAGNER),1732 DAVIDSON AVENUE,10456,1732 DAVIDSON AVENUE 10456,FY14,3.2
KBAI,GUILD FOR EXCEPTIONAL CHILDREN,1273 57 STREET,11219,1273 57 STREET 11219,FY15,4
MAPM,HAMILTON MADISON HOUSE EARLYLEARN CENTER 2,60 CATHERINE STREET,10038,60 CATHERINE STREET 10038,FY14,3.3
MAUW,HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,77 MARKET STREET,10002,77 MARKET STREET 10002,FY14,3.7
MASU,HAMILTON MADISON HOUSE EARLYLEARN CENTER 5,253 SOUTH STREET,10002,253 SOUTH STREET 10002,FY14,3.4
MAUY,HAMILTON MADISON HOUSE EARLYLEARN CENTER 6,129 FULTON STREET,10038,129 FULTON STREET 10038,FY14,4.3
QAVH,HAMMEL CCC,82-10 ROCKAWAY BEACH BLVD,11693,82-10 ROCKAWAY BEACH BLVD 11693,FY15,4
QBBG,HAN-I PRESCHOOL,19818 32ND ROAD - 1ST FLOOR,11358,19818 32ND ROAD - 1ST FLOOR 11358,FY15,4.2
KBMQ,"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",55 HANSON PLACE,11217,55 HANSON PLACE 11217,FY15,4.7
XAQS,HAPPY DAYS @RIVERDALE,2975 INDEPENDENCE AVE,10463,2975 INDEPENDENCE AVE 10463,FY15,4.1
KBYG,"HAPPY DRAGON OF NEW YORK, INCORPORATED",5805 7TH AVENUE,11220,5805 7TH AVENUE 11220,FY15,4.1
QANV,"HAPPY DRAGON OF USA, INC.",9825 HORACE HARDING EXPRESSWAY,11368,9825 HORACE HARDING EXPRESSWAY 11368,FY15,4.1
QATV,HAPPY DRAGON PRESCHOOL,14330 CHERRY AVENUE,11355,14330 CHERRY AVENUE 11355,FY15,3.9
QBHP,HAPPY MARYANN DAY SCHOOL,132-18 41ST AVE,11355,132-18 41ST AVE 11355,FY15,4.4
XAKZ,HARRY H. GORDON SCHOOL (NYL),2465 BATHGATE AVENUE,10458,2465 BATHGATE AVENUE 10458,FY15,4.2
KAYS,HAWTHORNE CORNERS DAY CARE CENTER,1950 BEDFORD AVENUE,11225,1950 BEDFORD AVENUE 11225,FY15,3.6
KBSB,"HCHC, INC.",1419 BROADWAY,11221,1419 BROADWAY 11221,FY15,4.9
XANU,HELP II,285 EAST 171ST STREET,10457,285 EAST 171ST STREET 10457,FY15,3.3
XAKQ,HELP III,785 CROTONA PARK NORTH,10460,785 CROTONA PARK NORTH 10460,FY14,3.3
MATA,HENRY STREET SETTLEMENT FAMILY SCHOOL,110-120 BARUCH DRIVE,10002,110-120 BARUCH DRIVE 10002,FY14,4.2
KAFZ,HIDEC,1401 AVENUE I,11230,1401 AVENUE I 11230,FY15,3.6
XAIN,HIGHBRIDGE ADVISORY COUNCIL DAY CARE CENTER (NELSON AVENUE),1181 NELSON AVENUE,10452,1181 NELSON AVENUE 10452,FY14,3.9
XAGC,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #1,1594 TOWNSEND AVENUE,10452,1594 TOWNSEND AVENUE 10452,FY14,2.9
XAIM,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #3,1399 OGDEN AVENUE,10452,1399 OGDEN AVENUE 10452,FY15,5.3
XANW,HIGHBRIDGE ADVISORY COUNCIL HEAD START,880 RIVER AVENUE,10452,880 RIVER AVENUE 10452,FY15,3.2
XANX,HIGHBRIDGE ADVISORY COUNCIL MARSHALL ENGLAND ELC,800 CONCOURSE VILLAGE EAST,10451,800 CONCOURSE VILLAGE EAST 10451,FY15,4.3
QBDA,HIGHLAND ACADEMICS,162-10 HIGHLAND AVENUE,11432,162-10 HIGHLAND AVENUE 11432,FY15,3.3
XABK,HOLY CROSS SCHOOL,1846 RANDALL AVENUE,10473,1846 RANDALL AVENUE 10473,FY15,3.7
QBHO,HOLY MOUNTAIN,29-49 137TH ST,11354,29-49 137TH ST 11354,FY15,4.2
QAUM,HOME SWEET HOME CHILDREN'S SCHOOL,19617 53 AVE,11365,19617 53 AVE 11365,FY15,4.1
KCIO,HONEYDEW DROP PLAYHOUSE,1113 CHURCH AVENUE,11218,1113 CHURCH AVENUE 11218,FY15,3.8
MAYH,HUDSON GUILD,410 WEST 40TH STREET,10018,410 WEST 40TH STREET 10018,FY14,4.3
MAUP,HUDSON GUILD CHILDREN'S CENTER,459 WEST 26TH STREET,10001,459 WEST 26TH STREET 10001,FY15,3.1
MASL,HUDSON GUILD CHILDREN'S CENTER I,441 WEST 26TH STREET,10001,441 WEST 26TH STREET 10001,FY14,3.9
RAHZ,"HYLAN DAY CARE, INC.",2346 HYLAN BOULEVARD,10306,2346 HYLAN BOULEVARD 10306,FY15,4.7
QBBR,ICCD,35-55 223RD STREET,11361,35-55 223RD STREET 11361,FY15,4.7
QAWO,ICCD,98-02 62ND DRIVE,11374,98-02 62ND DRIVE 11374,FY15,5.2
KCEH,IMAGINE BROOKLYN HEIGHTS,50 MONROE PLACE,11201,50 MONROE PLACE 11201,FY14,3.5
KCEG,IMAGINE DUMBO - ADAMS,85 ADAMS STREET,11201,85 ADAMS STREET 11201,FY14,4.8
MANG,IMAGINE EARLY LEARNING CENTER AT VETS KIDS,423 EAST 23 STREET,10010,423 EAST 23 STREET 10010,FY14,4.1
QATX,IMMANUEL CREATIVE,16315 OAK AVENUE,11358,16315 OAK AVENUE 11358,FY15,3.5
QASD,IMMANUEL GENIUS,"213-03 NORTHERN BOULEVARD, 3FL.",11361,"213-03 NORTHERN BOULEVARD, 3FL. 11361",FY15,4
QBHM,IMMANUEL GENIUS,253-01 NORTHERN BOULEVARD,11362,253-01 NORTHERN BOULEVARD 11362,FY15,5
MAEE,INCARNATION SCHOOL,570 WEST 175TH STREET,10033,570 WEST 175TH STREET 10033,FY14,4.2
KCHU,INFINITY UPK OF GERRITSEN AVENUE,2934-2936 GERRITSEN AVENUE,11229,2934-2936 GERRITSEN AVENUE 11229,FY15,2.7
KCJQ,INITIAL STEPS CHILD DEVELOPMENT CENTER,3003 GLENWOOD ROAD,11210,3003 GLENWOOD ROAD 11210,FY15,3.3
KBWE,INNER FORCE TOTS,1181 EAST NEW YORK AVENUE,11212,1181 EAST NEW YORK AVENUE 11212,FY14,2.9
XAKA,INTERVALE (CENTER #2),1054 INTERVALE AVENUE,10459,1054 INTERVALE AVENUE 10459,FY15,3.6
XAMR,IOLA JORDAN DAY CARE,421 EAST 161ST STREET,10451,421 EAST 161ST STREET 10451,FY15,4.3
KCIX,IP KIDS,2631 86 STREET,11223,2631 86 STREET 11223,FY15,3.6
KCIW,IP KIDS MONTESSORI,850 50TH STREET,11220,850 50TH STREET 11220,FY15,3.9
XANI,IVY LEAGUE EARLY LEARNING ACADEMY,4022 EAST TREMONT AVENUE,10465,4022 EAST TREMONT AVENUE 10465,FY15,3.4
QBGS,IVY LEAGUE EARLY LEARNING ACADEMY,6158 SPRINGFIELD BOULEVARD,11364,6158 SPRINGFIELD BOULEVARD 11364,FY14,5.1
RAHD,J &J ACADEMY,55 WYONA AVENUE,10314,55 WYONA AVENUE 10314,FY15,4.8
QAUN,JACK & JILL II,6805 FRESH MEADOW LANE,11365,6805 FRESH MEADOW LANE 11365,FY15,5.5
RAFP,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1297 ARTHUR KILL ROAD,10312,1297 ARTHUR KILL ROAD 10312,FY14,3.9
RAFO,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1466 MANOR ROAD,10314,1466 MANOR ROAD 10314,FY14,4.8
QASH,JEWISH INSTITUTE OF QUEENS,64-41 UTOPIA PARKWAY,11365,64-41 UTOPIA PARKWAY 11365,FY15,5.1
QACJ,JEWISH INSTITUTE OF QUEENS,6005 WOODHAVEN BOULEVARD,11373,6005 WOODHAVEN BOULEVARD 11373,FY15,4.5
QAVJ,JFKIDSPORT,JFK AIRPORT BUILDING 350,11430,JFK AIRPORT BUILDING 350 11430,FY15,4.8
XAVR,JOAN GANZ COONEY EARLY LEARNING PROGRAM,436 EAST 149TH STREET,10455,436 EAST 149TH STREET 10455,FY15,3.3
KBOS,JOHN COKER DCC,1375 BUSHWICK AVENUE,11207,1375 BUSHWICK AVENUE 11207,FY14,4.9
KBOX,JOHN F. KENNEDY ECDC,10315 FARRAGUT ROAD,11236,10315 FARRAGUT ROAD 11236,FY14,3.9
KBMJ,JOHN ORAVECZ ECDC,176 JAVA ST,11222,176 JAVA ST 11222,FY15,3.9
KBWH,JONATHAN WILLIAMS,321 ROEBLING STREET,11211,321 ROEBLING STREET 11211,FY14,3.8
QATZ,"JUDI'S NURSERY, INC.",15005 70TH ROAD,11367,15005 70TH ROAD 11367,FY14,4.4
XANK,JUST 4 KIDS KIDDIE KOLLEGE,781 CASTLE HILL AVENUE,10473,781 CASTLE HILL AVENUE 10473,FY14,4.1
XARP,JUST 4 KIDS MONSIGNOR SCANLAN,955 HUTCHINSON RIVER PKWY,10465,955 HUTCHINSON RIVER PKWY 10465,FY15,4.1
KCJT,KALEIDOSCOPE EARLY CHILDHOOD DEVELEPMENT CENTER,480 STRATFORD ROAD,11218,480 STRATFORD ROAD 11218,FY15,4.3
QBHR,KATHY'S DAY CARE,34-47 88TH ST,11372,34-47 88TH ST 11372,FY15,4.1
XAUW,KENNEDY CHILD CARE STUDY CENTER,1028 EAST 179TH STREET,10460,1028 EAST 179TH STREET 10460,FY14,4
QBJV,KHWOA BHOA DAY SCHOOL,132-25 POPLE AVE.,11355,132-25 POPLE AVE. 11355,FY15,5
QAYP,KID KRAZY @ 21ST AVENUE,2125 21 AVENUE,11105,2125 21 AVENUE 11105,FY15,3.9
QBIG,KIDDIE ACADEMY OF FLUSHING,33-25 PARSONS BLVD.,11354,33-25 PARSONS BLVD. 11354,FY15,4.2
QBCT,KIDDIE ACADEMY OF WHITESTONE,7-05 152ND ST,11357,7-05 152ND ST 11357,FY15,4.6
XARR,"KIDERIFIC NURSERY SCHOOL, INC.",1621 PILGRIM AVENUE,10461,1621 PILGRIM AVENUE 10461,FY15,5
QAXK,KIDS CIRCLE DAYCARE,164-04 GOETHALS AVENUE,11432,164-04 GOETHALS AVENUE 11432,FY14,4.3
QBIY,KIDZ WORLD EARLY CHILDHOOD CENTER,217-21 MERRICK BOULEVARD,11413,217-21 MERRICK BOULEVARD 11413,FY15,4.4
KCAK,KINDSTART PRESCHOOL,7702 NEW UTRECHT AVENUE,11214,7702 NEW UTRECHT AVENUE 11214,FY15,4.2
KCII,KINGS BAY Y AT NORTH WILLIAMSBURG,14 HOPE STREET,11211,14 HOPE STREET 11211,FY15,4.4
XAOT,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,3101 KINGSBRIDGE TERRACE,10463,3101 KINGSBRIDGE TERRACE 10463,FY14,2.7
XALV,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,295 WEST 231ST STREET,10463,295 WEST 231ST STREET 10463,FY14,2.9
XAOR,KINGSBRIDGE MONTESSORI SCHOOL,2500 JEROME AVENUE,10468,2500 JEROME AVENUE 10468,FY15,3.3
QBGK,KON GEN INTERNATIONAL PRESCHOOL,196-29 42ND AVE,11358,196-29 42ND AVE 11358,FY15,4.8
KCEC,KREATIVE KARE DAY CARE CENTER,455 WILSON AVENUE (GROUND FLOOR),11221,455 WILSON AVENUE (GROUND FLOOR) 11221,FY14,4.2
QAZW,LA GUARDIA COMMUNITY COLLEGE PRE-SCHOOL,3110 THOMSON AVENUE,11101,3110 THOMSON AVENUE 11101,FY15,4.7
QAXL,LAURELTON DAY CARE,14119 224TH STREET,11413,14119 224TH STREET 11413,FY15,3.6
QBHN,LEADING KIDS PRESCHOOL,44-07 LITTLE NECK PKWY,11363,44-07 LITTLE NECK PKWY 11363,FY15,5.3
QBIB,LEARNING LADDER CENTER,125-19 101 AVENUE,11419,125-19 101 AVENUE 11419,FY15,5.3
XARQ,LEARNING LADDER DAY CARE CENTER,"100 ALDRICH STREET, BLDG 15A",10475,"100 ALDRICH STREET, BLDG 15A 10475",FY15,4.6
MAPW,LEGGETT MEMORIAL,237 EAST 104TH STREET,10029,237 EAST 104TH STREET 10029,FY14,2.9
RAHA,LEMON TREE,341 ELVIN STREET,10314,341 ELVIN STREET 10314,FY15,4
MAMQ,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70TH STREET,10021,331 EAST 70TH STREET 10021,FY15,3.7
MBBE,LEXINGTON CHILDREN'S CENTER,115 EAST 98TH STREET,10029,115 EAST 98TH STREET 10029,FY15,4.2
KBWG,LIFE- CONEY ISLAND,2757 WEST 33RD STREET,11224,2757 WEST 33RD STREET 11224,FY14,5.3
MAUQ,LIGHTHOUSE CDC,111 EAST 59TH STREET,10022,111 EAST 59TH STREET 10022,FY14,3.9
X567,LINDEN TREE ELEMENTARY SCHOOL,1560 PURDY STREET,10462,1560 PURDY STREET 10462,FY15,4.2
KCHZ,LITTLE HANDS CREATIVE MINDS,4111 AVE J,11210,4111 AVE J 11210,FY15,4.1
XASK,LITTLE HAVEN @ MOTT HAVEN ACADEMY,170 BROWN PLACE,10454,170 BROWN PLACE 10454,FY15,3.8
KCJA,"LITTLE NEST COMMUNITY PLAYHOUSE, LLC",216 SEELEY STREET,11218,216 SEELEY STREET 11218,FY15,2.6
KCKV,LITTLE NEST PRESCHOOL,511 CHURCH AVENUE,11218,511 CHURCH AVENUE 11218,FY15,2.9
XAVJ,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER,850 JENNINGS STREET,10459,850 JENNINGS STREET 10459,FY14,4.9
MAUF,LITTLE STAR OF BROOME STREET,151 BROOME STREET,10002,151 BROOME STREET 10002,FY15,4.3
XAPT,"LITTLE STARS SCHOOL, INC.",4063 EDSON AVENUE,10466,4063 EDSON AVENUE 10466,FY14,3.5
KBVZ,LITTLE SUN PEOPLE,1360 FULTON STREET,11216,1360 FULTON STREET 11216,FY15,4.1
XANT,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,1240 WEBSTER AVENUE,10456,1240 WEBSTER AVENUE 10456,FY14,3.4
KCJK,LPBC DAY CARE,7524 14TH AVENUE,11228,7524 14TH AVENUE 11228,FY15,4.4
XAID,LSSMNY: EARLY LIFE CHILDREN'S CENTER 1,80 EAST 181 STREET,10453,80 EAST 181 STREET 10453,FY14,4
MARB,LSSMNY: EARLY LIFE CHILDREN'S CENTER 11,110 WEST 146TH STREET,10039,110 WEST 146TH STREET 10039,FY14,4.4
MATI,LSSMNY: EARLY LIFE CHILDREN'S CENTER 12,151-157 W. 136TH STREET,10030,151-157 W. 136TH STREET 10030,FY15,4.9
MARH,LSSMNY: EARLY LIFE CHILDREN'S CENTER 13,218 WEST 147TH STREET,10039,218 WEST 147TH STREET 10039,FY14,3.8
MATP,LSSMNY: EARLY LIFE CHILDRENS CENTER 14,510-16 WEST 145TH STREET,10031,510-16 WEST 145TH STREET 10031,FY14,4.1
XAIC,LSSMNY: EARLY LIFE CHILDREN'S CENTER 2,888 WESTCHESTER AVENUE,10459,888 WESTCHESTER AVENUE 10459,FY14,4.6
XALY,LSSMNY: EARLY LIFE CHILDREN'S CENTER 4,200 WEST TREMONT AVENUE,10453,200 WEST TREMONT AVENUE 10453,FY14,4.9
XAGX,LSSMNY: EARLY LIFE CHILDREN'S CENTER 6,2125 WATSON AVENUE,10472,2125 WATSON AVENUE 10472,FY14,3.9
KBJJ,LSSMNY: EARLY LIFE CHILDREN'S CENTER 8,265 MARCUS GARVEY BOULEVARD,11221,265 MARCUS GARVEY BOULEVARD 11221,FY14,4.4
KBKE,LSSMNY: EARLY LIFE CHILDREN'S CENTER 9,1175 GATES AVENUE,11221,1175 GATES AVENUE 11221,FY14,3.7
QARC,LUCILLE ROSE DCC,148 BEACH 59TH ST,11692,148 BEACH 59TH ST 11692,FY15,3.7
MAVQ,MABEL BARRETT FITZGERALD DCC,243 WEST 64TH STREET,10023,243 WEST 64TH STREET 10023,FY14,3.4
QBJP,MAGIC BEANS,43-12 46TH STREET,11104,43-12 46TH STREET 11104,FY15,4.4
QANR,MALCOLM X DAY CARE,11112 NORTHERN BOULEVARD,11368,11112 NORTHERN BOULEVARD 11368,FY14,3.4
XAGF,MANIDA (CENTER #1),711 MANIDA STREET,10474,711 MANIDA STREET 10474,FY14,3.8
XAOV,MARC ACADEMY AND FAMILY CENTER,2105 JEROME AVE,10453,2105 JEROME AVE 10453,FY14,3.7
KBJI,MARCY CHILDREN'S CENTER,494 MARCY AVENUE,11206,494 MARCY AVENUE 11206,FY14,3.4
KBPC,MARIE DURDIN CHILD CARE CENTER,2700 LINDEN BOULEVARD,11208,2700 LINDEN BOULEVARD 11208,FY14,4.1
QBJC,MAROOS PRESCHOOL,4502 82ND STREET,11373,4502 82ND STREET 11373,FY15,4.8
QAUJ,MARTIN L. KING JR. MEM DCC,3606 PRINCE STREET,11354,3606 PRINCE STREET 11354,FY15,3.5
KBDT,MARY BOBB LEARNING ACADEMY,1187 NOSTRAND AVE,11225,1187 NOSTRAND AVE 11225,FY15,3.8
KBNR,MARY MCLEOD BETHUNE CHILD DEVELOPMENT CENTER,360 PULASKI STREET,11206,360 PULASKI STREET 11206,FY15,3.8
MAVY,METRO NORTH CHILDCARE CENTER,304 EAST 102ND STREET,10029,304 EAST 102ND STREET 10029,FY15,3.6
QBIH,MI NUEVO MUNDO,100-09 39 AVENUE,11368,100-09 39 AVENUE 11368,FY15,5.4
QBGR,MI NUEVO MUNDO,5102 31ST AVENUE,11377,5102 31ST AVENUE 11377,FY14,5.8
XAIE,MID BRONX CCRP ECC 3,1360 OGDEN AVENUE,10452,1360 OGDEN AVENUE 10452,FY14,3.5
XAHD,MID BRONX CCRP ECC 4,1020 SUMMIT AVENUE,10452,1020 SUMMIT AVENUE 10452,FY14,2.6
XALZ,MID BRONX SENIOR CITIZEN CENTER,100 EAST MOUNT EDEN AVENUE,10452,100 EAST MOUNT EDEN AVENUE 10452,FY14,3.8
RAFR,MINI WORLD PRESCHOOL,7516 AMBOY ROAD,10307,7516 AMBOY ROAD 10307,FY14,4.2
KCJX,MOHDC- SMART START,533 BLAKE AVE,11207,533 BLAKE AVE 11207,FY15,4.2
XARG,MONSIGNOR BOYLE,3044 HULL AVENUE,10467,3044 HULL AVENUE 10467,FY15,3.9
QAXN,MONTESSORI PROGRESSIVE,19503 LINDEN BOULEVARD,11412,19503 LINDEN BOULEVARD 11412,FY14,4.2
MBHV,MOREAU LMSW CHILDREN & FAMILY SERVICES PC,764 ST. NICHOLAS AVENUE,10031,764 ST. NICHOLAS AVENUE 10031,FY15,3.5
QBJE,MORNING STAR PRESCHOOL,47-24 BELL BOULEVARD,11361,47-24 BELL BOULEVARD 11361,FY15,3.8
XAMQ,MOSHOLU MONTEFIORE - VAN CORTLANDT CBECC,3880 SEDGWICK AVENUE,10463,3880 SEDGWICK AVENUE 10463,FY14,3.8
QBBQ,MOST HOLY REDEEMER CATHOLIC ACADEMY,136-58 41ST AVE,11355,136-58 41ST AVE 11355,FY15,4.8
QBGP,MOVING UP CHILDREN CENTER,4069 94 STREET,11373,4069 94 STREET 11373,FY14,3.7
QBHL,MY LITTLE FOOTPRINTS DAYCARE CORP.,28-34 38TH STREET,11103,28-34 38TH STREET 11103,FY15,4.6
MBHI,MY LITTLE LANGUAGE SCHOOL,225 WEST 99TH STREET,10025,225 WEST 99TH STREET 10025,FY15,4.3
QARP,MYRTLE P. JARMON ECEC,11655 GUY R. BREWER BOULEVARD,11434,11655 GUY R. BREWER BOULEVARD 11434,FY14,4.9
R009,NAPLES STREET ELEMENTARY SCHOOL,1055 TARGEE STREET,10304,1055 TARGEE STREET 10304,FY14,4
XACE,NATIVITY OF OUR BLESSED LADY,3893 DYRE AVENUE,10466,3893 DYRE AVENUE 10466,FY15,4.2
KATZ,NEPTUNE AVENUE HEAD START,293 NEPTUNE AVENUE,11235,293 NEPTUNE AVENUE 11235,FY15,3.3
K532,NEW BRIDGES ELEMENTARY,1025 EASTERN PARKWAY,11213,1025 EASTERN PARKWAY 11213,FY15,3.7
KBVB,NEW LIFE CHILD DEVELOPMENT CENTER 2,406 GROVE STREET,11237,406 GROVE STREET 11237,FY14,4.5
KBEB,NEW LIFE CHILD DEVELOPMENT CENTER 4,1307 GREENE AVENUE,11237,1307 GREENE AVENUE 11237,FY15,5.2
QBBH,"NEW MILESTONE, INCORPORATED",13254 POPLE AVENUE,11355,13254 POPLE AVENUE 11355,FY15,4.4
MAYJ,NEW YORK CENTER FOR CHILD DEVELOPMENT,159 W. 127TH STREET,10027,159 W. 127TH STREET 10027,FY15,4.5
Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,95-16 89TH AVENUE,11421,95-16 89TH AVENUE 11421,FY15,4.2
KCHV,"NEW YORK CREATIVE CHILDCARE, INC.",5015 6TH AVENUE,11220,5015 6TH AVENUE 11220,FY15,4.2
MAXT,NICHOLAS CARDELL DAY CARE CENTER,84 VERMILYEA AVENUE,10034,84 VERMILYEA AVENUE 10034,FY15,4.4
QBBN,NOAH'S ARK PROGRESSIVE LEARNING CENTER,6248 MT. OLIVET CRESCENT,11379,6248 MT. OLIVET CRESCENT 11379,FY15,5.3
QAUO,NOAH'S ARK PROGRESSIVE LEARNING CENTER,3820 BELL BOULEVARD,11361,3820 BELL BOULEVARD 11361,FY14,4.9
