Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
KCJT,KALEIDOSCOPE EARLY CHILDHOOD DEVELEPMENT CENTER,480 STRATFORD ROAD 11218,FY15,4.3
QAXK,KIDS CIRCLE DAYCARE,164-04 GOETHALS AVENUE 11432,FY14,4.3
MAUF,LITTLE STAR OF BROOME STREET,151 BROOME STREET 10002,FY15,4.3
MBHI,MY LITTLE LANGUAGE SCHOOL,225 WEST 99TH STREET 10025,FY15,4.3
MAXM,NORTHERN MANHATTAN HEAD START,529 WEST 155 STREET 10032,FY15,4.3
R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,80 SOUTH GOFF AVENUE 10309,FY15,4.3
K132,P.S. 132 THE CONSELYEA SCHOOL,320 MANHATTAN AVENUE 11211,FY15,4.3
K158,P.S. 158 WARWICK,400 ASHFORD STREET 11207,FY15,4.3
Q229,P.S. 229 EMANUEL KAPLAN,67-25 51 ROAD 11377,FY14,4.3
X310,P.S. 310 MARBLE HILL,260 W KINGSBRIDGE RD 10463,FY15,4.3
QASP,QING SHENG WANG GFDC,83-32 CORNISH AVE 11373,FY15,4.3
QAMT,RALPH HIRSCHKORN CHILD CARE CENTER,310 BEACH 20TH STREET 11691,FY14,4.3
QBCC,"ROCHDALE VILLAGE NURSERY SCHOOL, INC.",17030 130TH AVENUE 11434,FY15,4.3
MBAU,SACRED HEART PAROCHIAL,456 WEST 52ST STREET__ 10019,FY15,4.3
MAWT,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,711 LENOX AVENUE 10039,FY14,4.3
XALW,SHARON BAPTIST - CENTER I,507 EAST 165TH STREET 10456,FY14,4.3
QAUG,SHARON NURSERY,14515 34TH AVENUE 11354,FY15,4.3
XAKD,SOUND DALE CENTER FOR ECE,1211 CROES AVENUE 10472,FY15,4.3
XAQK,STS. PHILIP & JAMES SCHOOL,1160 EAST 213TH STREET 10469,FY14,4.3
QASU,THE CHILD CENTER OF NY 2,3410 108TH STREET 11368,FY15,4.3
RAFZ,THE COLLEGE OF STATEN ISLAND - THE CHILDREN'S CENTER,2800 VICTORY BOULEVARD 10314,FY15,4.3
XAEW,THE LEARNING TREE,801 BARTHOLDI STREET 10467,FY14,4.3
RAHX,THE SALVATION ARMY-PORT RICHMOND),1295 FOREST AVE 10302,FY15,4.3
XAOF,TREMONT MONTEREY DAY CARE CENTER II,1600 BATHGATE AVENUE 10457,FY15,4.3
MAQA,VIRGINIA DAY NURSERY,464 EAST 10TH STREET 10009,FY14,4.3
KBKF,WILLIAMSBURG CCC,110 TAYLOR STREET 11249,FY14,4.3
KANX,YESHIVA KARLIN STOLIN,1801 55TH STREET 11204,FY15,4.3
KCJS,YESHIVA TORAH VODAATH,452 EAST 9 STREET 11218,FY15,4.3
MBAJ,ABYSSINIAN DEVELOPMENT CORP 3,25 WEST 132ND STREET 10037,FY15,4.2
QAWZ,ALL MY CHILDREN DAY CARE (69TH AVE),10822 69TH AVENUE 11375,FY15,4.2
KCJY,ANGEL EARLY CHILDHOOD DEVELOPMENT CENTER,1436 67TH STREET 1ST FLOOR 11219,FY15,4.2
KBNI,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,214 STUYVESANT AVENUE 11221,FY14,4.2
XAHW,BETANCES EARLY CHILDHOOD CENTER (NYCHA),528 EAST 146TH STREET 10455,FY15,4.2
XALQ,BLONDELL JOYNER DCC,901 TINTON AVENUE 10456,FY14,4.2
XAMA,BRIGHTSIDE ACADEMY - WHITE PLAINS #2,3942 WHITE PLAINS ROAD 10466,FY14,4.2
XARD,BRONX EARLY LEARNING CENTER,1887 BATHGATE AVENUE 10457,FY15,4.2
KBUM,BUMBLE BEES R US 3,2813 FARRAGUT ROAD 11210,FY14,4.2
KBMO,CHICK PEAS CHILD CARE,451 7TH AVENUE 11215,FY14,4.2
MAUJ,CHILDREN'S AID AT P.S. 50,433 EAST 100TH STREET 10029,FY14,4.2
MAWH,E HARLEM CHS BILINGUAL HEAD START - 111TH,30 EAST 111TH STREET 10029,FY15,4.2
MASK,EAST HARLEM CENTER,130 EAST 101ST STREET 10029,FY14,4.2
XAJT,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE 10457,FY15,4.2
MAUU,GARMENT INDUSTRY DAY CARE CENTER,115 CHRYSTIE STREET 10002,FY15,4.2
QBBG,HAN-I PRESCHOOL,19818 32ND ROAD - 1ST FLOOR 11358,FY15,4.2
XAKZ,HARRY H. GORDON SCHOOL (NYL),2465 BATHGATE AVENUE 10458,FY15,4.2
MATA,HENRY STREET SETTLEMENT FAMILY SCHOOL,110-120 BARUCH DRIVE 10002,FY14,4.2
QBHO,HOLY MOUNTAIN,29-49 137TH ST 11354,FY15,4.2
MAEE,INCARNATION SCHOOL,570 WEST 175TH STREET 10033,FY14,4.2
QBIG,KIDDIE ACADEMY OF FLUSHING,33-25 PARSONS BLVD. 11354,FY15,4.2
KCAK,KINDSTART PRESCHOOL,7702 NEW UTRECHT AVENUE 11214,FY15,4.2
KCEC,KREATIVE KARE DAY CARE CENTER,455 WILSON AVENUE (GROUND FLOOR) 11221,FY14,4.2
MBBE,LEXINGTON CHILDREN'S CENTER,115 EAST 98TH STREET 10029,FY15,4.2
X567,LINDEN TREE ELEMENTARY SCHOOL,1560 PURDY STREET 10462,FY15,4.2
RAFR,MINI WORLD PRESCHOOL,7516 AMBOY ROAD 10307,FY14,4.2
KCJX,MOHDC- SMART START,533 BLAKE AVE 11207,FY15,4.2
QAXN,MONTESSORI PROGRESSIVE,19503 LINDEN BOULEVARD 11412,FY14,4.2
XACE,NATIVITY OF OUR BLESSED LADY,3893 DYRE AVENUE 10466,FY15,4.2
Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,95-16 89TH AVENUE 11421,FY15,4.2
KCHV,"NEW YORK CREATIVE CHILDCARE, INC.",5015 6TH AVENUE 11220,FY15,4.2
KBPT,NYL- WILLIAM O'CONNOR,420 95TH STREET 11209,FY14,4.2
KAUK,NYL/WOC MIDWOOD,1520 EAST 13TH STREET 11230,FY15,4.2
QBBE,OUR KIDS PLACE COUNTRY DAY,137-25 BROOKVILLE BLVD. 11422,FY15,4.2
M165,P.S. 165 ROBERT E. SIMON,234 WEST 109 STREET 10025,FY15,4.2
M171,P.S. 171 PATRICK HENRY,19 EAST 103 STREET 10029,FY15,4.2
M197,P.S. 197 JOHN B. RUSSWURM,2230 5 AVENUE 10037,FY15,4.2
QARE,PAL WOODSIDE EARLY LEARN CENTER,5037 BROADWAY 11377,FY14,4.2
KBCZ,PINE STREET DAY CARE,374 PINE STREET 11208,FY14,4.2
QBGH,RENANIM DAY CARE,14129 84TH DRIVE 11435,FY14,4.2
RAGH,RICHMOND HILL CHILDREN'S CENTER,"501 RICHMOND HILL ROAD, 10314",FY15,4.2
XAOB,SOUTH BRONX HEAD START II,141 FEATHERBED LANE 10452,FY15,4.2
RAEY,ST. ADALBERT'S SCHOOL,355 MORNINGSTAR ROAD 10303,FY14,4.2
XACY,ST. ANN - OUR LADY OF MOUNT CARMEL ANNEX,3511 BAINBRIDGE AVENUE 10467,FY14,4.2
QAFC,ST. CAMILLUS SCHOOL,185 BEACH 99TH STREET 11694,FY15,4.2
XAPI,ST. DOMINICS TORCH,2340 ANDREWS AVENUE 10468,FY15,4.2
KBLS,SUMNER CHILDREN'S CENTER,860 PARK AVENUE 11206,FY15,4.2
MAYL,SUNSHINE DAYCARE EAST HARLEM,1330 5TH AVENUE 10026,FY15,4.2
Q343,THE CHILDREN'S LAB SCHOOL,45-46 42ND STREET 11104,FY15,4.2
R080,THE MICHAEL J. PETRIDES SCHOOL,715 OCEAN TERRACE 10301,FY15,4.2
XAIB,THROGGS NECK EARLY LEARN CENTER,461 SWINTON AVENUE 10465,FY14,4.2
XARM,TRABAJAMOS COMMUNITY HEAD START,940 EAST 156TH STREET 10455,FY14,4.2
XAQA,TREMONT CROTONA,1600 CROTONA PARK EAST 10460,FY14,4.2
KCIL,URBAN STRATEGIES CHILD CARE,1405 BUSHWICK AVENUE 11207,FY15,4.2
XAKB,WATSON AVENUE ECC,1880 WATSON AVENUE 10472,FY14,4.2
XALB,WHEDCO EARLY CHILDHOOD DISCOVERY CENTER,50 EAST 168TH STREET 10452,FY15,4.2
QAJR,YMCA OF GREATER NEW YORK - FLUSHING,13846 NORTHERN BOULEVARD 11354,FY15,4.2
KADN,ZION DAY CARE,5000 14TH AVENUE 11219,FY15,4.2
QAST,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-20 LAUREL HILL BOULEVARD 11377,FY15,4.1
KBXL,ACE INTEGRATION HEAD START,1419-23 BROADWAY 11221,FY14,4.1
KARS,ACTION NURSERY,1019 46TH STREET 11219,FY15,4.1
KCJO,AIM HIGH CHILDRENS SERVICES,83 MARLBOROUGH RD 11226,FY15,4.1
QARN,ALL MY CHILDREN DAY CARE 8,97-30 QUEENS BLVD 11374,FY14,4.1
KBDX,B.ABOVE WORLDWIDE INSTITUTE - TOMER DEVORAH,4500 9 AVE 11220,FY14,4.1
XAVS,BEDROCK PRESCHOOL,3220 ARLINGTON AVENUE 10463,FY15,4.1
QASL,BESSIE &NORA'S PLACE,90-05 161ST STREET 11432,FY15,4.1
KBPB,BREUKELEN EARLY CHILDHOOD DEVELOPMENT CENTER,717 EAST 105TH STREET 11236,FY14,4.1
KBPI,BREUKELEN HEAD START,715 EAST 105TH STREET 11236,FY14,4.1
X392,BRONX DELTA SCHOOL,650 HOLLYWOOD AVENUE 10465,FY15,4.1
KBMM,BROOKLYN CHINESE-AMERICAN ASSOCIATION,812 54TH STREET 11220,FY14,4.1
KCIM,BROOKLYN EXPLORERS ACADEMY,110 SCHERMERHORN STREET 11201,FY15,4.1
K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,251 MCDOUGAL STREET 11233,FY15,4.1
KBJN,BUSHWICK UNITED HDFC 5,152 MANHATTAN AVENUE 11206,FY14,4.1
RADM,CAS SI FAMILY SERVICES CENTER,465 VILLA AVE 10302,FY15,4.1
QATE,CENTER OF EXCELLENCE SPRINGFIELD GARDENS PRESCHOOL,127-08 MERRICK BLVD. 11434,FY15,4.1
XAJB,"CONCOURSE HOUSE, HDFC",2348 WEBSTER AVE 10458,FY14,4.1
MARJ,GRAHAM WINDHAM DCC,669 LENOX AVENUE 10037,FY14,4.1
X449,GRANT AVENUE ELEMENTARY SCHOOL,250 EAST 164 STREET 10456,FY15,4.1
XAQS,HAPPY DAYS @RIVERDALE,2975 INDEPENDENCE AVE 10463,FY15,4.1
KBYG,"HAPPY DRAGON OF NEW YORK, INCORPORATED",5805 7TH AVENUE 11220,FY15,4.1
QANV,"HAPPY DRAGON OF USA, INC.",9825 HORACE HARDING EXPRESSWAY 11368,FY15,4.1
QAUM,HOME SWEET HOME CHILDREN'S SCHOOL,19617 53 AVE 11365,FY15,4.1
MANG,IMAGINE EARLY LEARNING CENTER AT VETS KIDS,423 EAST 23 STREET 10010,FY14,4.1
XANK,JUST 4 KIDS KIDDIE KOLLEGE,781 CASTLE HILL AVENUE 10473,FY14,4.1
XARP,JUST 4 KIDS MONSIGNOR SCANLAN,955 HUTCHINSON RIVER PKWY 10465,FY15,4.1
QBHR,KATHY'S DAY CARE,34-47 88TH ST 11372,FY15,4.1
KCHZ,LITTLE HANDS CREATIVE MINDS,4111 AVE J 11210,FY15,4.1
KBVZ,LITTLE SUN PEOPLE,1360 FULTON STREET 11216,FY15,4.1
MATP,LSSMNY: EARLY LIFE CHILDRENS CENTER 14,510-16 WEST 145TH STREET 10031,FY14,4.1
KBPC,MARIE DURDIN CHILD CARE CENTER,2700 LINDEN BOULEVARD 11208,FY14,4.1
XALE,NP READY SET LEARN,830 FOX STREET 10459,FY15,4.1
XACK,OUR LADY OF GRACE SCHOOL,3981 BRONXWOOD AVE 10466,FY15,4.1
M008,P.S. 008 LUIS BELLIARD,465 WEST 167 STREET 10032,FY15,4.1
X107,P.S. 107,1695 SEWARD AVENUE 10473,FY15,4.1
Q134,P.S. 134 HOLLIS,203-02 109 AVENUE 11412,FY15,4.1
K135,P.S. 135 SHELDON A. BROOKNER,684 LINDEN BOULEVARD 11203,FY15,4.1
M153,P.S. 153 ADAM CLAYTON POWELL,1750 AMSTERDAM AVENUE 10031,FY15,4.1
Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,64-35 102 STREET 11374,FY15,4.1
X209,P.S. 209,313 EAST 183RD STREET 10458,FY15,4.1
K770,P.S. 770 NEW AMERICAN ACADEMY,60 EAST 94 STREET 11212,FY14,4.1
KBJP,PAL ARNOLD AND MARIE SCHWARTZ EARLY LEARN CENTER ( KBJP),452 PENNSYLVANIA AVENUE 11207,FY14,4.1
XAFR,PAUL T. MATSON HEAD START 5,1780 STORY AVENUE 10473,FY14,4.1
QAYE,QUICK START DAY CARE CENTER,118-46 RIVERTON STREET 11412,FY15,4.1
XAIQ,RICHARD H. MANGUM EARLY LEARNING CENTER,383 E. 162ND STREET 10451,FY14,4.1
XASA,SAINT DOMINICS TORCH,2195 VALENTINE AVENUE 10457,FY15,4.1
RABP,SAINT JOHN'S EV PRESCHOOL,663 MANOR ROAD 10314,FY15,4.1
KBMC,SMALL WORLD,211 AINSLIE STREET 11211,FY15,4.1
KBFQ,ST. ANDREWS COMMUNITY DAY CARE,4917 FOURTH AVENUE 11220,FY14,4.1
MAGR,ST. BRIGID SCHOOL,185 EAST 7TH STREET 10009,FY15,4.1
KBFD,ST. MARKS,2017 BEVERLEY ROAD 11226,FY14,4.1
KBPZ,"STAR AMERICA, INC.",880 60TH STREET 11220,FY14,4.1
MBGU,SUGAR HILL MUSEUM PRESCHOOL,400 W 155TH STREET 10032,FY15,4.1
MAON,UNION JOHNSON EARLY CHILDHOOD PROGRAMS,1829 LEXINGTON AVENUE 10029,FY14,4.1
MAUB,UNIVERSITY SETTLEMENT ECC,184 ELDRIDGE STREET 10002,FY14,4.1
MAWW,URBAN CONCEPTS/ROUND THE CLOCK,3333 BROADWAY 10031,FY14,4.1
XAPX,WILLIAMSBRIDGE NAACP EARLY CHILDHOOD EDUCATION CENTER,670 EAST 219TH STREET 10467,FY15,4.1
MAUT,YWCA-NYC POLLY DODGE EARLY LEARNING CENTER,538 WEST 55TH STREET 10019,FY15,4.1
XAXC,3490 READY SET LEARN,3490 THIRD AVENUE 10456,FY15,4
QAYL,82ND STREET ACADEMICS,8110 35TH AVENUE 11372,FY15,4
KBKP,ALL MY CHILDREN # 11,317 ROGERS AVENUE 11225,FY14,4
KBJH,ALL MY CHILDREN DAY CARE 10,420 LEFFERTS AVENUE 11225,FY14,4
KCIE,BNOS CHAYA,4511 14TH AVENUE 11219,FY15,4
QBHS,BRIGHT KIDS DAY CARE,108-42 SUTPHIN BOULEVARD 11435,FY15,4
MBGQ,CCLC AT 4 NY PLAZA,4 NEWYORK PLAZA SUITE 104 10004,FY15,4
XAAX,CHRIST THE KING SCHOOL,1345 GRAND CONCOURSE 10452,FY14,4
KCJF,CLARKSON EARLY CHILDHOOD CENTER,8801 GLENWOOD RD 11236,FY15,4
KBLJ,"COMMUNITY PARENTS, INC.",60 EAST 93RD STREET 11212,FY15,4
KBKU,FRIENDS OF CROWN HEIGHTS 15,2505 PITKIN AVENUE 11208,FY14,4
KBKC,FRIENDS OF CROWN HEIGHTS 16,668 LOGAN STREET 11208,FY14,4
KBJR,FRIENDS OF CROWN HEIGHTS 19,370 NEW LOTS AVENUE 11207,FY14,4
KBAI,GUILD FOR EXCEPTIONAL CHILDREN,1273 57 STREET 11219,FY15,4
QAVH,HAMMEL CCC,82-10 ROCKAWAY BEACH BLVD 11693,FY15,4
QASD,IMMANUEL GENIUS,"213-03 NORTHERN BOULEVARD, 3FL. 11361",FY15,4
XAUW,KENNEDY CHILD CARE STUDY CENTER,1028 EAST 179TH STREET 10460,FY14,4
RAHA,LEMON TREE,341 ELVIN STREET 10314,FY15,4
XAID,LSSMNY: EARLY LIFE CHILDREN'S CENTER 1,80 EAST 181 STREET 10453,FY14,4
R009,NAPLES STREET ELEMENTARY SCHOOL,1055 TARGEE STREET 10304,FY14,4
X055,P.S. 055 BENJAMIN FRANKLIN,450 SAINT PAUL'S PLACE 10456,FY15,4
X078,P.S. 078 ANNE HUTCHINSON,1400 NEEDHAM AVENUE 10469,FY15,4
M325,P.S. 325,500 WEST 138 STREET 10031,FY15,4
QAPW,QUEENSBRIDGE ECDC,38-11 27TH STREET 11101,FY14,4
XAOK,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,1646 MONTGOMERY AVENUE 10453,FY14,4
KBFC,SHIRLEY CHISHOLM CHILD CARE CENTER SITE 4 SOMERS,33 SOMERS STREET 11233,FY14,4
KBJU,SHIRLEY CHISHOLM DAY CARE CENTER SITE 5 ADVENT CENTER,265 SUMPTER STREET 11233,FY14,4
XADO,ST. FRANCIS XAVIER SCHOOL,1711 HAIGHT AVE 10461,FY15,4
MAGZ,ST. GREGORY THE GREAT SCHOOL,138 WEST 90TH STREET 10024,FY15,4
RAHW,STATEN ISLAND CHILDREN'S ACADEMY,50 OSAGE LANE 10312,FY15,4
K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,4004 4 AVENUE 11232,FY15,4
M361,THE CHILDREN'S WORKSHOP SCHOOL,610 EAST 12 STREET 10009,FY15,4
QBGI,TINY FOOTSTEPS,167-01 UNION TURNPIKE 11366,FY14,4
M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,511 WEST 182ND STREET 10033,FY15,4
X369,YOUNG LEADERS ELEMENTARY SCHOOL,468 EAST 140 STREET 10454,FY15,4
KBOB,196 ALBANY AVENUE DCC,196 ALBANY AVENUE 11213,FY14,3.9
QANS,"A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE 11428,FY14,3.9
KBMP,BAY RIDGE CHILD CARE CENTER,314- 44TH STREET 11220,FY14,3.9
KBNJ,BEDFORD STUYVESANT ECDC 260,260 JEFFERSON AVENUE 11216,FY15,3.9
QAAB,BETH GAVRIEL/SHA'AREI ZION OHEL BRACHA,7524 GRAND CENTRAL PARKWAY 11375,FY15,3.9
QAXD,"BLANCHE COMMUNITY PROGRESS DAY CARE CENTER, INC.",10960 202ND STREET 11412,FY14,3.9
XAJG,BRIGHTSIDE ACADEMY - SOUTHERN,1093 SOUTHERN BOULEVARD 10459,FY14,3.9
KBUJ,BROOKLYN CHINESE AMERICAN ASSOCIATION - BAY RIDGE DCC,4202 8TH AVENUE 11232,FY15,3.9
RACS,CHILDREN'S AID SOCIETY RICHMOND EARLY LEARNING CENTER,159 BROADWAY 10310,FY14,3.9
QAXF,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT,193-04 JAMAICA AVENUE 11423,FY14,3.9
MASN,COMMUNITY LIFE CENTER 1,221 EAST 122 STREET 10035,FY14,3.9
KCIA,EFFIE B.S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1171 EASTERN PARKWAY 11213,FY15,3.9
MAPD,ESS MORNINGSIDE,2967 FREDERICK DOUGLAS BOULEVARD 10039,FY14,3.9
KBJS,FRIENDS OF CROWN HEIGHTS 10,1491 BEDFORD AVENUE 11216,FY14,3.9
KBKK,FRIENDS OF CROWN HEIGHTS 29,1435 PROSPECT PLACE 11213,FY14,3.9
MASH,FRIENDS OF CROWN HEIGHTS DCC #28,3732 10TH AVENUE 10034,FY14,3.9
XARC,FULTON (CENTER #4),1717 FULTON AVENUE 10457,FY15,3.9
MARD,GRANT DAY CARE CENTER,1299 AMSTERDAM AVENUE 10027,FY14,3.9
QATV,HAPPY DRAGON PRESCHOOL,14330 CHERRY AVENUE 11355,FY15,3.9
XAIN,HIGHBRIDGE ADVISORY COUNCIL DAY CARE CENTER (NELSON AVENUE),1181 NELSON AVENUE 10452,FY14,3.9
MASL,HUDSON GUILD CHILDREN'S CENTER I,441 WEST 26TH STREET 10001,FY14,3.9
KCIW,IP KIDS MONTESSORI,850 50TH STREET 11220,FY15,3.9
RAFP,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1297 ARTHUR KILL ROAD 10312,FY14,3.9
KBOX,JOHN F. KENNEDY ECDC,10315 FARRAGUT ROAD 11236,FY14,3.9
KBMJ,JOHN ORAVECZ ECDC,176 JAVA ST 11222,FY15,3.9
QAYP,KID KRAZY @ 21ST AVENUE,2125 21 AVENUE 11105,FY15,3.9
MAUQ,LIGHTHOUSE CDC,111 EAST 59TH STREET 10022,FY14,3.9
XAGX,LSSMNY: EARLY LIFE CHILDREN'S CENTER 6,2125 WATSON AVENUE 10472,FY14,3.9
XARG,MONSIGNOR BOYLE,3044 HULL AVENUE 10467,FY15,3.9
K003,P.S. 003 THE BEDFORD VILLAGE,50 JEFFERSON AVENUE 11216,FY15,3.9
Q045,P.S. 045 CLARENCE WITHERSPOON,126-28 150 STREET 11436,FY15,3.9
X051,P.S. 051 BRONX NEW SCHOOL,695 EAST 182ND STREET 10457,FY15,3.9
K056,P.S. 056 LEWIS H. LATIMER,170 GATES AVENUE 11238,FY15,3.9
K067,P.S. 067 CHARLES A. DORSEY,51 SAINT EDWARDS STREET 11205,FY15,3.9
R011,P.S. 11 THOMAS DONGAN SCHOOL,50 JEFFERSON STREET 10304,FY15,3.9
K114,P.S. 114 RYDER ELEMENTARY,1077 REMSEN AVENUE 11236,FY15,3.9
Q120,P.S. 120 QUEENS,58-01 136 STREET 11355,FY15,3.9
K230,P.S. 230 DORIS L. COHEN,1 ALBEMARLE ROAD 11218,FY15,3.9
K297,P.S. 297 ABRAHAM STOCKTON,700 PARK AVENUE 11206,FY15,3.9
X005,P.S. 5 PORT MORRIS,564 JACKSON AVENUE 10455,FY15,3.9
XANF,PAMELA C. TORRES DAYCARE CENTER,161 SAINT ANNS AVENUE 10454,FY15,3.9
KBXS,"ROGER DAY CARE, INC.",775 ROGERS AVENUE 11226,FY15,3.9
KBBL,SAINT PETER'S PRESCHOOL,109 HIGHLAND PLACE 11208,FY15,3.9
QAVU,"ST. ALBANS MONTESSORI DAY CARE CENTER, INC.",118-49 MONTAUK STREET 11412,FY15,3.9
QBGL,"STAR PARADISE, INC.",8655 BROADWAY  2ND FLOOR 11373,FY14,3.9
R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,280 REGIS DRIVE 10314,FY15,3.9
Q135,THE BELLAIRE SCHOOL,207-11 89 AVENUE 11427,FY15,3.9
QAUS,THE LUTHERAN SCHOOLS OF FLUSHING AND BAYSIDE,3601 BELL BOULEVARD 11361,FY15,3.9
XASH,TOLENTINE ZEISER COMMUNITY LIFE CENTER,2340 ANDREWS AVENUE 10468,FY15,3.9
KBPK,UNITED COMMUNITY DCC,613 NEW LOTS AVENUE 11207,FY14,3.9
MANM,WEST HARLEM EARLYLEARN,121 WEST 128TH STREET 10027,FY14,3.9
KBYC,YWCA-NYC ROBERTA BRIGHT EARLY LEARNING CENTER,3001 W 37TH STREET 11224,FY14,3.9
QBII,ACADEMY OF EXCELLENCE BELL PARK 7,178-36 WEXFORD TERRACE 11432,FY15,3.8
KBEP,BCA DAY CARE CENTER,713 43RD STREET 11232,FY14,3.8
MAVB,BLOOMINGDALE FAMILY PROGRAM III,987 COLUMBUS AVENUE 10025,FY14,3.8
KBTB,BRIGHTSIDE ACADEMY - BARBEY,683 BARBEY STREET 11207,FY14,3.8
KBTC,BRIGHTSIDE ACADEMY - BELMONT,50 BELMONT AVENUE 11212,FY14,3.8
KCGR,BROOKLYN CHINESE AMERICAN ASSOCIATION,4116 8TH AVENUE 11232,FY15,3.8
MBHH,CENTER ANNEX (TIBECA EARLY CHILDHOOD CENTER),21 ST. JOHN'S LANE 10013,FY15,3.8
MAUM,CHUNG PAK DAY CARE CENTER,"125 WALKER STREET, 3RD FLOOR 10013",FY14,3.8
KBDC,CYPRESS HILLS CCC,108 PINE STREET 11208,FY14,3.8
XAKO,EPISCOPAL SOCIAL SERVICES HEAD START (PAUL'S HOUSE),500 BERGEN AVENUE 10455,FY14,3.8
MAVX,FRANKLIN PLAZA,2081 SECOND AVENUE 10029,FY15,3.8
KCHN,FRIENDS OF CROWN HEIGHTS,2805 NEWKIRK AVENUE 11226,FY15,3.8
KBPQ,GENERATION 21DAY CARE,6709 19TH AVENUE 11204,FY14,3.8
KCIO,HONEYDEW DROP PLAYHOUSE,1113 CHURCH AVENUE 11218,FY15,3.8
KBWH,JONATHAN WILLIAMS,321 ROEBLING STREET 11211,FY14,3.8
XASK,LITTLE HAVEN @ MOTT HAVEN ACADEMY,170 BROWN PLACE 10454,FY15,3.8
MARH,LSSMNY: EARLY LIFE CHILDREN'S CENTER 13,218 WEST 147TH STREET 10039,FY14,3.8
XAGF,MANIDA (CENTER #1),711 MANIDA STREET 10474,FY14,3.8
KBDT,MARY BOBB LEARNING ACADEMY,1187 NOSTRAND AVE 11225,FY15,3.8
KBNR,MARY MCLEOD BETHUNE CHILD DEVELOPMENT CENTER,360 PULASKI STREET 11206,FY15,3.8
XALZ,MID BRONX SENIOR CITIZEN CENTER,100 EAST MOUNT EDEN AVENUE 10452,FY14,3.8
QBJE,MORNING STAR PRESCHOOL,47-24 BELL BOULEVARD 11361,FY15,3.8
XAMQ,MOSHOLU MONTEFIORE - VAN CORTLANDT CBECC,3880 SEDGWICK AVENUE 10463,FY14,3.8
QBJJ,NORTH SIDE SCHOOL,85-27 91ST STREET 11421,FY15,3.8
KBVD,NUESTROS NINOS DCC III,161 SOUTH 3RD STREET 11211,FY14,3.8
K024,P.S. 024,427 38 STREET 11232,FY15,3.8
M051,P.S. 051 ELIAS HOWE,525 WEST 44TH STREET 10036,FY14,3.8
X058,P.S. 058,459 EAST 176 STREET 10457,FY15,3.8
R069,P.S. 069 DANIEL D. TOMPKINS,144 KEATING PLACE 10314,FY15,3.8
M116,P.S. 116 MARY LINDLEY MURRAY,210 EAST 33 STREET 10016,FY15,3.8
K119,P.S. 119 AMERSFORT,3829 AVENUE K 11210,FY15,3.8
M126,P.S. 126 JACOB AUGUST RIIS,80 CATHERINE STREET 10038,FY15,3.8
M173,P.S. 173,306 FORT WASHINGTON AVENUE 10033,FY15,3.8
Q251,P.S. 251 QUEENS,144-51 ARTHUR STREET 11413,FY15,3.8
K279,P.S. 279 HERMAN SCHREIBER,1070 EAST 104 STREET 11236,FY15,3.8
K155,P.S./ I.S. 155 NICHOLAS HERKIMER,1355 HERKIMER STREET 11233,FY15,3.8
KBNV,PARK PLACE DAY CARE CENTER,963 PARK PLACE 11213,FY15,3.8
KAIN,PHYL'S ACADEMY,3520 TILDEN AVENUE 11203,FY14,3.8
XARJ,SANTA MARIA SCHOOL,1651 ZEREGA AVENUE 10462,FY15,3.8
KBJL,SARATOGA - MORRIS KOPPELMAN CENTER,774 SARATOGA AVENUE 11212,FY14,3.8
KBJZ,SARATOGA II,69 SARATOGA Saratoga AVENUE 11233,FY14,3.8
MASV,SCAN LAGUARDIA HOUSE NURSERY,414-416 EAST 105TH STREET 10029,FY14,3.8
MAPG,SHELTERING ARMS LEARNING CENTER,2493 ADAM CLAYTON POWELL BLVD 10030,FY14,3.8
MAOM,THE CHILDREN'S AID SOCIETY DREW HAMILTON EARLY CHILDHOOD CENTER,2672 FREDERICK DOUGLASS BLVD 10030,FY14,3.8
MATB,THE CHILDREN'S AID SOCIETY TAFT EARLY CHILDHOOD CENTER,1724-26 MADISON AVENUE 10029,FY14,3.8
KCJG,THE COCONUT GROVE CHILDHOOD EDUCATION CENTER,9522 AVENUE A 11236,FY15,3.8
XANC,"THE SALVATION ARMY, BRONX CITADEL",425 E 159TH ST 10451,FY15,3.8
KBSD,"THE SALVATION ARMY, BUSHWICK",1151 BUSHWICK AVE 11221,FY15,3.8
