Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
Q062,P. S. 62 - CHESTER PARK SCHOOL,97-25 108 STREET 11419,FY15,5
Q048,P.S. 048 WILLIAM WORDSWORTH,108-29 155 STREET 11433,FY15,5
Q107,P.S. 107 THOMAS A DOOLEY,167-02 45 AVENUE 11358,FY15,5
K156,P.S. 156 WAVERLY,104 SUTTER AVENUE 11212,FY15,5
XAMZ,PHILIP H. MICHAELS CDC,629 COURTLANDT AVENUE 10451,FY14,5
QBHV,QUEENS LIBRARY UPK - WOODHAVEN,85-41 FOREST PKWY 11421,FY15,5
QAUH,THE CORNER SCHOOL,15003 BAYSIDE AVENUE 11354,FY15,5
QBHY,AIM HIGH LEADERSHIP ACADEMY,131-44 134TH ST 11420,FY15,4.9
QAUW,ALPHA KAPPA ALPHA EPSILON PI OMEGA DCC,14406 ROCKAWAY BOULEVARD 11420,FY15,4.9
QAYZ,ATONEMENT PRE-SCHOOL,3061 87 STREET 11369,FY15,4.9
XAIF,BE ABOVE 52,1810 DAVIDSON AVENUE 10453,FY14,4.9
KCKB,BUSHWICK UNITED DEVELOPMENT FUND,243 SOUTH 2ND STREET 11211,FY15,4.9
QBAJ,COMMUNITY NURSERY SCHOOL COTH,167-07 35TH AVENUE 11358,FY15,4.9
QAPK,CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,143-04 101ST AVENUE 11435,FY14,4.9
QBJX,DIVINE WISDOM CATHOLIC ACADEMY,56-10 214TH STREET 11364,FY15,4.9
MAQG,GRAMERCY SCHOOL,460 WEST 34TH STREET2 FLOOR 10001,FY15,4.9
QAMO,GREATER RIDGEWOOD,5903 SUMMERFIELD STREET 11385,FY15,4.9
KBSB,"HCHC, INC.",1419 BROADWAY 11221,FY15,4.9
KBOS,JOHN COKER DCC,1375 BUSHWICK AVENUE 11207,FY14,4.9
XAVJ,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER,850 JENNINGS STREET 10459,FY14,4.9
MATI,LSSMNY: EARLY LIFE CHILDREN'S CENTER 12,151-157 W. 136TH STREET 10030,FY15,4.9
XALY,LSSMNY: EARLY LIFE CHILDREN'S CENTER 4,200 WEST TREMONT AVENUE 10453,FY14,4.9
QARP,MYRTLE P. JARMON ECEC,11655 GUY R. BREWER BOULEVARD 11434,FY14,4.9
QAUO,NOAH'S ARK PROGRESSIVE LEARNING CENTER,3820 BELL BOULEVARD 11361,FY14,4.9
Q080,P.S. 080 THURGOOD MARSHALL MAGNET,171-05 137 AVENUE 11434,FY15,4.9
QBAF,SAMUEL FIELD YM & YWHA (BAYSIDE),212-00 23RD AVENUE 11360,FY15,4.9
XADY,ST LUCY SCHOOL,830 MACE AVE 10467,FY15,4.9
RAGM,STATEN ISLAND HEAD START,44 DONGAN HILLS AVENUE 10306,FY15,4.9
RACT,STATEN ISLAND MENTAL HEALTH SOCIETY 3,10 KINGSLEY PLACE 10301,FY14,4.9
MASJ,THE CHILDREN'S AID SOCIETY MILBANK EARLY CHILDHOOD PROGRAM,14-32 WEST 118TH STREET 10026,FY14,4.9
QBBU,"THE NURTURING CENTER, INC.",112-18 SPRINGFIELD BOULEVARD 11429,FY15,4.9
KBJW,YWCA-NYC BROWNSVILLE EARLY LEARNING CENTER,1592 EAST NEW YORK AVENUE 11212,FY14,4.9
KBJG,ALL MY CHILDREN DAY CARE 13 - FORD,36 FORD STREET 11213,FY14,4.8
KBEQ,BROOKLYN DEVELOPMENTAL CENTER,888 FOUNTAIN AVENUE 11208,FY14,4.8
K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,574 DUMONT AVENUE 11207,FY15,4.8
KBLW,BUSHWICK UNITED HDFC 4,178 LEONARD STREET 11206,FY14,4.8
XAMV,CHILDREN'S PRIDE,414 MORRIS AVENUE 10451,FY14,4.8
MBBG,COMMUNITY LIFE CENTER 2,15 MT MORRIS PARK WEST 10027,FY15,4.8
KCEG,IMAGINE DUMBO - ADAMS,85 ADAMS STREET 11201,FY14,4.8
RAHD,J &J ACADEMY,55 WYONA AVENUE 10314,FY15,4.8
RAFO,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1466 MANOR ROAD 10314,FY14,4.8
QAVJ,JFKIDSPORT,JFK AIRPORT BUILDING 350 11430,FY15,4.8
