Site ID,DBN,Site Name,Street Address,City,State,Zip Code,ECERS Most Recent Assessment Year,ECERS Observation Average Score
KCIA,17K700,EFFIE B.S EARLY CHILDHOOD DEVELOPMENT CENTER CORP.,1171 EASTERN PARKWAY,New York,NY,11213,FY15,3.9
KBVL,17K700,ELLA BAKER CHARLES ROMAIN CHILD DEVELOPMENT CENTER OF MEDGAR EVERS COLLEGE,1150 CARROLL STREET,New York,NY,11225,FY13,4.8
M225,02M225,ELLA BAKER SCHOOL,317 EAST 67 STREET,New York,NY,10065,FY15,3.2
KAFB,17K700,EPIPHANY LUTHERAN SCHOOL,721 LINCOLN PL,New York,NY,11216,FY15,3.3
MAPA,05M700,EPISCOPAL SOCIAL SERVICES HEAD START (FIFTH AVENUE),2289 FIFTH AVENUE,New York,NY,10037,FY14,3.5
XAKO,07X700,EPISCOPAL SOCIAL SERVICES HEAD START (PAUL'S HOUSE),500 BERGEN AVENUE,New York,NY,10455,FY14,3.8
MATR,01M700,ESCUELA HISPANA MONTESSORI 1,185 AVENUE D,New York,NY,10009,FY14,3.1
MATQ,01M700,ESCUELA HISPANA MONTESSORI 2,180 SUFFOLK STREET,New York,NY,10002,FY15,4.5
MAPD,05M700,ESS MORNINGSIDE,2967 FREDERICK DOUGLAS BOULEVARD,New York,NY,10039,FY14,3.9
XAWX,09X700,FABIANA DAY CAY ACADEMY UNIVERSAL PRE K,937 TELLER AVENUE,New York,NY,10451,FY15,3
X314,12X314,FAIRMONT NEIGHBORHOOD SCHOOL,1550 VYSE AVENUE,New York,NY,10460,FY13,3.8
KBWQ,21K700,FAMILY HEAD START CONEY ISLAND,2960 WEST 27TH STREET,New York,NY,11224,FY15,4.7
MBGT,03M700,FINGER PAINTED HANDS,126 WEST 83RD STREET,New York,NY,10024,FY15,3.7
RADN,31R700,FOCH,195 GORDON STREET,New York,NY,10304,FY15,3.7
KBYD,32K700,FOOTSTEPS CHILDCARE INC.,1125 BROADWAY,New York,NY,11221,FY15,4.4
MAVX,04M700,FRANKLIN PLAZA,2081 SECOND AVENUE,New York,NY,10029,FY15,3.8
KBOW,18K700,FRIENDS OF CROWN HEIGHTS,141 EAST 40TH STREET,New York,NY,11203,FY15,3.5
KCHN,22K700,FRIENDS OF CROWN HEIGHTS,2805 NEWKIRK AVENUE,New York,NY,11226,FY15,3.8
KBJS,17K700,FRIENDS OF CROWN HEIGHTS 10,1491 BEDFORD AVENUE,New York,NY,11216,FY14,3.9
KBKU,19K700,FRIENDS OF CROWN HEIGHTS 15,2505 PITKIN AVENUE,New York,NY,11208,FY14,4
KBKC,19K700,FRIENDS OF CROWN HEIGHTS 16,668 LOGAN STREET,New York,NY,11208,FY14,4
KBLB,19K700,FRIENDS OF CROWN HEIGHTS 18,851 LIBERTY AVENUE,New York,NY,11208,FY14,4.5
KBJR,19K700,FRIENDS OF CROWN HEIGHTS 19,370 NEW LOTS AVENUE,New York,NY,11207,FY14,4
KBOF,17K700,FRIENDS OF CROWN HEIGHTS 2,671 PROSPECT PLACE,New York,NY,11216,FY15,3.2
KBYM,23K700,FRIENDS OF CROWN HEIGHTS 26,20 SUTTER AVENUE,New York,NY,11212,FY14,4.3
KBKK,16K700,FRIENDS OF CROWN HEIGHTS 29,1435 PROSPECT PLACE,New York,NY,11213,FY14,3.9
KBQN,21K700,FRIENDS OF CROWN HEIGHTS 6,49 AVENUE W,New York,NY,11223,FY15,3.6
KBSI,17K700,FRIENDS OF CROWN HEIGHTS 9,813 STERLING PLACE,New York,NY,11216,FY14,3.7
MASH,06M700,FRIENDS OF CROWN HEIGHTS DCC #28,3732 10TH AVENUE,New York,NY,10034,FY14,3.9
KBJQ,19K700,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,921 HEGEMAN AVENUE,New York,NY,11208,FY14,4.3
KBEZ,17K700,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #11,995 CARROLL STREET,New York,NY,11225,FY14,3.2
KBRP,22K700,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #5,1886 NOSTRAND AVENUE,New York,NY,11226,FY14,4.7
MBBJ,06M700,FT GEORGE CHILD  CENTER 1,601 W 186 ST,New York,NY,10033,FY15,3.6
MAXJ,06M700,FT GEORGE HEAD START CENTER # 1,1525 SAINT NICHOLAS AVENUE,New York,NY,10033,FY15,4.5
XASE,09X700,FT. GEORGE UNIVERSAL PRE-K,489 ST. PAUL'S PLACE,New York,NY,10456,FY15,4.3
XARC,08X700,FULTON (CENTER #4),1717 FULTON AVENUE,New York,NY,10457,FY15,3.9
KBXQ,22K700,"GAN, INC. - GAN JEWISH DAY CARE",2901 CAMPUS ROAD,New York,NY,11210,FY15,4.6
QBJQ,30Q700,GARDEN SCHOOL,78-02 NORTHERN BLVD.,New York,NY,11372,FY15,4.6
QABL,30Q700,"GARDEN SCHOOL, INC.",3316 79TH STREET,New York,NY,11372,FY13,4.3
MAUU,02M700,GARMENT INDUSTRY DAY CARE CENTER,115 CHRYSTIE STREET,New York,NY,10002,FY15,4.2
KBPQ,20K700,GENERATION 21DAY CARE,6709 19TH AVENUE,New York,NY,11204,FY14,3.8
KBQW,18K700,GET SET KINDERGARTEN SCHOOL - LINDEN,623 LINDEN BOULEVARD,New York,NY,11203,FY14,4.3
KBQX,22K700,GET SET KINDERGARTEN SCHOOL SITE - CORTELYOU,1919 CORTELYOU ROAD,New York,NY,11226,FY15,3.3
KBQY,17K700,GET SET KINDERGARTEN SCHOOL SITE - SNYDER,2301 SNYDER AVENUE,New York,NY,11226,FY13,3.8
KASR,22K700,GLENNWOOD AVENUE HEAD START,3017 GLENWOOD ROAD,New York,NY,11210,FY13,4
MAQL,03M700,GODDARD RIVERSIDE DAY CARE CENTER@ WEST 84TH ST 3,26 WEST 84TH STREET,New York,NY,10024,FY14,4.5
MASP,03M700,GODDARD RIVERSIDE HEAD START CENTER @ W 95TH ST 4,70 WEST 95TH STREET,New York,NY,10025,FY14,4.6
MAQH,03M700,GODDARD RIVERSIDE PRESCHOOL @W83RD 2,128 WEST 83RD STREET,New York,NY,10024,FY14,4.3
Q333,27Q333,GOLDIE MAPLE ACADEMY,3-65 BEACH 56 STREET,New York,NY,11692,FY15,2.1
KAFO,22K700,GOOD SHEPHERD SCHOOL,1943 BROWN STREET,New York,NY,11229,FY15,3.2
QAEG,30Q700,GRACE LUTHERAN SCHOOL,3120 21ST AVENUE,New York,NY,11105,FY14,5.9
KBLY,14K700,GRAHAM CHILD CARE CENTER,222 GRAHAM AVENUE,New York,NY,11206,FY14,4.3
MARJ,05M700,GRAHAM WINDHAM DCC,669 LENOX AVENUE,New York,NY,10037,FY14,4.1
MAQG,02M700,GRAMERCY SCHOOL,460 WEST 34TH STREET2 FLOOR,New York,NY,10001,FY15,4.9
MAUC,01M700,GRAND ST SETTLEMENT,300 DELANCEY STREET,New York,NY,10002,FY13,4.1
MAPY,01M700,GRAND ST SETTLEMENT DUAL CENTER #1,60 ESSEX STREET,New York,NY,10002,FY14,3.4
KBLP,32K700,GRAND STREET SETTLEMENT DUAL #3,319 STANHOPE STREET,New York,NY,11237,FY14,4.5
X449,09X449,GRANT AVENUE ELEMENTARY SCHOOL,250 EAST 164 STREET,New York,NY,10456,FY15,4.1
MARD,05M700,GRANT DAY CARE CENTER,1299 AMSTERDAM AVENUE,New York,NY,10027,FY14,3.9
KCIS,19K700,GREATER BRIGHT LIGHT LEARNING CENTER,1320 SUTTER AVE,New York,NY,11208,FY15,3.1
QAMO,24Q700,GREATER RIDGEWOOD,5903 SUMMERFIELD STREET,New York,NY,11385,FY15,4.9
XAHB,11X700,GROW WITH US (SUSAN E. WAGNER),1732 DAVIDSON AVENUE,New York,NY,10456,FY14,3.2
QASY,24Q700,GRYC LITTLE STARS @ NOTRE DAME,6281 60TH PLACE,New York,NY,11385,FY13,5.1
KBAI,20K700,GUILD FOR EXCEPTIONAL CHILDREN,1273 57 STREET,New York,NY,11219,FY15,4
MAPM,02M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 2,60 CATHERINE STREET,New York,NY,10038,FY14,3.3
MAUW,02M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,77 MARKET STREET,New York,NY,10002,FY14,3.7
MASU,01M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 5,253 SOUTH STREET,New York,NY,10002,FY14,3.4
MAUY,02M700,HAMILTON MADISON HOUSE EARLYLEARN CENTER 6,129 FULTON STREET,New York,NY,10038,FY14,4.3
QAVH,27Q700,HAMMEL CCC,82-10 ROCKAWAY BEACH BLVD,New York,NY,11693,FY15,4
QBBG,25Q700,HAN-I PRESCHOOL,19818 32ND ROAD - 1ST FLOOR,New York,NY,11358,FY15,4.2
KAWC,15K700,"HANOVER PLACE CHILD CARE CENTER, LLC",15 HANOVER PLACE,New York,NY,11201,FY13,3.3
KBMQ,15K700,"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",55 HANSON PLACE,New York,NY,11217,FY15,4.7
XAQS,10X700,HAPPY DAYS @RIVERDALE,2975 INDEPENDENCE AVE,New York,NY,10463,FY15,4.1
QANU,24Q700,HAPPY DRAGON OF NEW YORK,8602 57TH AVENUE,New York,NY,11373,FY13,3.7
KBYG,20K700,"HAPPY DRAGON OF NEW YORK, INCORPORATED",5805 7TH AVENUE,New York,NY,11220,FY15,4.1
QANV,24Q700,"HAPPY DRAGON OF USA, INC.",9825 HORACE HARDING EXPRESSWAY,New York,NY,11368,FY15,4.1
QATV,25Q700,HAPPY DRAGON PRESCHOOL,14330 CHERRY AVENUE,New York,NY,11355,FY15,3.9
QBHP,25Q700,HAPPY MARYANN DAY SCHOOL,132-18 41ST AVE,New York,NY,11355,FY15,4.4
XAKZ,10X700,HARRY H. GORDON SCHOOL (NYL),2465 BATHGATE AVENUE,New York,NY,10458,FY15,4.2
KAYS,17K700,HAWTHORNE CORNERS DAY CARE CENTER,1950 BEDFORD AVENUE,New York,NY,11225,FY15,3.6
KBSB,32K700,"HCHC, INC.",1419 BROADWAY,New York,NY,11221,FY15,4.9
KAJR,20K700,HEARTSHARE HUMAN SERVICES OF NEW YORK,1825 BATH AVENUE,New York,NY,11214,FY13,4.9
XANU,09X700,HELP II,285 EAST 171ST STREET,New York,NY,10457,FY15,3.3
XAKQ,12X700,HELP III,785 CROTONA PARK NORTH,New York,NY,10460,FY14,3.3
MAXZ,01M700,HENRY STREET SETTLEMENT DAY CARE,301 HENRY STREET,New York,NY,10002,FY13,4
MATA,01M700,HENRY STREET SETTLEMENT FAMILY SCHOOL,110-120 BARUCH DRIVE,New York,NY,10002,FY14,4.2
KAFZ,21K700,HIDEC,1401 AVENUE I,New York,NY,11230,FY15,3.6
XAIN,09X700,HIGHBRIDGE ADVISORY COUNCIL DAY CARE CENTER (NELSON AVENUE),1181 NELSON AVENUE,New York,NY,10452,FY14,3.9
XANV,09X700,HIGHBRIDGE ADVISORY COUNCIL DORIS E. STONE DAY CARE,1165 UNIVERSITY AVENUE,New York,NY,10452,FY13,2.8
XAGC,09X700,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #1,1594 TOWNSEND AVENUE,New York,NY,10452,FY14,2.9
XAIM,09X700,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #3,1399 OGDEN AVENUE,New York,NY,10452,FY15,5.3
XANW,09X700,HIGHBRIDGE ADVISORY COUNCIL HEAD START,880 RIVER AVENUE,New York,NY,10452,FY15,3.2
XANX,09X700,HIGHBRIDGE ADVISORY COUNCIL MARSHALL ENGLAND ELC,800 CONCOURSE VILLAGE EAST,New York,NY,10451,FY15,4.3
QBDA,28Q700,HIGHLAND ACADEMICS,162-10 HIGHLAND AVENUE,New York,NY,11432,FY15,3.3
KAXW,17K700,"HIGHLIGHTS ACADEMY, INC.",1688 PRESIDENT STREET,New York,NY,11213,FY13,3.7
QABS,27Q700,HOLY CHILD JESUS SCHOOL,11102 86TH AVENUE,New York,NY,11418,FY13,3.9
XABK,08X700,HOLY CROSS SCHOOL,1846 RANDALL AVENUE,New York,NY,10473,FY15,3.7
QBHO,25Q700,HOLY MOUNTAIN,29-49 137TH ST,New York,NY,11354,FY15,4.2
QAUM,26Q700,HOME SWEET HOME CHILDREN'S SCHOOL,19617 53 AVE,New York,NY,11365,FY15,4.1
KCIO,17K700,HONEYDEW DROP PLAYHOUSE,1113 CHURCH AVENUE,New York,NY,11218,FY15,3.8
QAKV,25Q700,HONEYPOT DAY CARE,140-22 BEECH AVENUE,New York,NY,11355,FY13,4.3
QAQC,27Q700,HOWARD BEACH JUDEA CENTER,16205 90TH STREET,New York,NY,11414,FY13,3.9
MAYH,02M700,HUDSON GUILD,410 WEST 40TH STREET,New York,NY,10018,FY14,4.3
MAUP,02M700,HUDSON GUILD CHILDREN'S CENTER,459 WEST 26TH STREET,New York,NY,10001,FY15,3.1
MASL,02M700,HUDSON GUILD CHILDREN'S CENTER I,441 WEST 26TH STREET,New York,NY,10001,FY14,3.9
RAHZ,31R700,"HYLAN DAY CARE, INC.",2346 HYLAN BOULEVARD,New York,NY,10306,FY15,4.7
QBBR,26Q700,ICCD,35-55 223RD STREET,New York,NY,11361,FY15,4.7
QAWO,28Q700,ICCD,98-02 62ND DRIVE,New York,NY,11374,FY15,5.2
KCEH,13K700,IMAGINE BROOKLYN HEIGHTS,50 MONROE PLACE,New York,NY,11201,FY14,3.5
KCEG,13K700,IMAGINE DUMBO - ADAMS,85 ADAMS STREET,New York,NY,11201,FY14,4.8
QALO,28Q700,IMAGINE EARLY LEARNING CENTER,1 JAMAICA CENTER PLAZA,New York,NY,11432,FY13,4.3
MANH,02M700,IMAGINE EARLY LEARNING CENTER @ EAST 97TH STREET,60 E 97TH STREET,New York,NY,10029,FY13,3.9
MANG,02M700,IMAGINE EARLY LEARNING CENTER AT VETS KIDS,423 EAST 23 STREET,New York,NY,10010,FY14,4.1
QATX,25Q700,IMMANUEL CREATIVE,16315 OAK AVENUE,New York,NY,11358,FY15,3.5
QASD,26Q700,IMMANUEL GENIUS,"213-03 NORTHERN BOULEVARD, 3FL.",New York,NY,11361,FY15,4
QBHM,26Q700,IMMANUEL GENIUS,253-01 NORTHERN BOULEVARD,New York,NY,11362,FY15,5
MAEE,06M700,INCARNATION SCHOOL,570 WEST 175TH STREET,New York,NY,10033,FY14,4.2
QACD,29Q700,INCARNATION SCHOOL,8915 FRANCIS LEWIS BOULEVARD,New York,NY,11427,FY13,4.3
KBRB,22K700,INFINITY UPK,1972 EAST 34TH STREET,New York,NY,11234,FY13,3.9
KCHU,22K700,INFINITY UPK OF GERRITSEN AVENUE,2934-2936 GERRITSEN AVENUE,New York,NY,11229,FY15,2.7
KCJQ,22K700,INITIAL STEPS CHILD DEVELOPMENT CENTER,3003 GLENWOOD ROAD,New York,NY,11210,FY15,3.3
KBWE,17K700,INNER FORCE TOTS,1181 EAST NEW YORK AVENUE,New York,NY,11212,FY14,2.9
XAKA,12X700,INTERVALE (CENTER #2),1054 INTERVALE AVENUE,New York,NY,10459,FY15,3.6
XAMR,07X700,IOLA JORDAN DAY CARE,421 EAST 161ST STREET,New York,NY,10451,FY15,4.3
KCIX,21K700,IP KIDS,2631 86 STREET,New York,NY,11223,FY15,3.6
KCIW,20K700,IP KIDS MONTESSORI,850 50TH STREET,New York,NY,11220,FY15,3.9
XANI,08X700,IVY LEAGUE EARLY LEARNING ACADEMY,4022 EAST TREMONT AVENUE,New York,NY,10465,FY15,3.4
QBGS,26Q700,IVY LEAGUE EARLY LEARNING ACADEMY,6158 SPRINGFIELD BOULEVARD,New York,NY,11364,FY14,5.1
RAHD,31R700,J &J ACADEMY,55 WYONA AVENUE,New York,NY,10314,FY15,4.8
QATA,24Q700,J.C. DAYWATCH DAY CARE,20 SAINT JOHNS ROAD,New York,NY,11385,FY13,4.5
QAUN,26Q700,JACK & JILL II,6805 FRESH MEADOW LANE,New York,NY,11365,FY15,5.5
QASK,30Q700,JACKSON CHILDREN'S SERVICES,3602 14TH STREET,New York,NY,11106,FY13,4.3
QAMB,30Q700,JACKSON HEIGHTS LEARNING CENTER ANNEX,7910 34 AVENUE  SUITE 1X,New York,NY,11372,FY13,5
QAYN,30Q700,JACKSON'S CHILDREN'S SERVICES,3136 88TH STREET,New York,NY,11369,FY13,4.6
M057,04M057,JAMES WELDON JOHNSON,176 EAST 115 STREET,New York,NY,10029,FY13,2.9
RAFP,31R700,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1297 ARTHUR KILL ROAD,New York,NY,10312,FY14,3.9
RAFO,31R700,JEWISH COMMUNITY CENTER OF STATEN ISLAND,1466 MANOR ROAD,New York,NY,10314,FY14,4.8
QASH,26Q700,JEWISH INSTITUTE OF QUEENS,64-41 UTOPIA PARKWAY,New York,NY,11365,FY15,5.1
QACJ,28Q700,JEWISH INSTITUTE OF QUEENS,6005 WOODHAVEN BOULEVARD,New York,NY,11373,FY15,4.5
QAVJ,27Q700,JFKIDSPORT,JFK AIRPORT BUILDING 350,New York,NY,11430,FY15,4.8
XAVR,07X700,JOAN GANZ COONEY EARLY LEARNING PROGRAM,436 EAST 149TH STREET,New York,NY,10455,FY15,3.3
KBOS,32K700,JOHN COKER DCC,1375 BUSHWICK AVENUE,New York,NY,11207,FY14,4.9
KBOX,18K700,JOHN F. KENNEDY ECDC,10315 FARRAGUT ROAD,New York,NY,11236,FY14,3.9
KBMJ,14K700,JOHN ORAVECZ ECDC,176 JAVA ST,New York,NY,11222,FY15,3.9
KBWH,14K700,JONATHAN WILLIAMS,321 ROEBLING STREET,New York,NY,11211,FY14,3.8
QATZ,25Q700,"JUDI'S NURSERY, INC.",15005 70TH ROAD,New York,NY,11367,FY14,4.4
XANK,08X700,JUST 4 KIDS KIDDIE KOLLEGE,781 CASTLE HILL AVENUE,New York,NY,10473,FY14,4.1
XARP,08X700,JUST 4 KIDS MONSIGNOR SCANLAN,955 HUTCHINSON RIVER PKWY,New York,NY,10465,FY15,4.1
KCJT,22K700,KALEIDOSCOPE EARLY CHILDHOOD DEVELEPMENT CENTER,480 STRATFORD ROAD,New York,NY,11218,FY15,4.3
QBHR,30Q700,KATHY'S DAY CARE,34-47 88TH ST,New York,NY,11372,FY15,4.1
XAUW,12X700,KENNEDY CHILD CARE STUDY CENTER,1028 EAST 179TH STREET,New York,NY,10460,FY14,4
QBJV,25Q700,KHWOA BHOA DAY SCHOOL,132-25 POPLE AVE.,New York,NY,11355,FY15,5
QAMS,30Q700,KID KRAZY,2519 27 STREET,New York,NY,11102,FY13,5.6
QAYP,30Q700,KID KRAZY @ 21ST AVENUE,2125 21 AVENUE,New York,NY,11105,FY15,3.9
QBIG,25Q700,KIDDIE ACADEMY OF FLUSHING,33-25 PARSONS BLVD.,New York,NY,11354,FY15,4.2
QALD,26Q700,KIDDIE ACADEMY OF LITTLE NECK,25220 NORTHERN BOULEVARD3RD FLOOR,New York,NY,11362,FY13,3.3
QBCT,25Q700,KIDDIE ACADEMY OF WHITESTONE,7-05 152ND ST,New York,NY,11357,FY15,4.6
XARR,08X700,"KIDERIFIC NURSERY SCHOOL, INC.",1621 PILGRIM AVENUE,New York,NY,10461,FY15,5
QAXK,29Q700,KIDS CIRCLE DAYCARE,164-04 GOETHALS AVENUE,New York,NY,11432,FY14,4.3
QBIY,29Q700,KIDZ WORLD EARLY CHILDHOOD CENTER,217-21 MERRICK BOULEVARD,New York,NY,11413,FY15,4.4
KCAK,20K700,KINDSTART PRESCHOOL,7702 NEW UTRECHT AVENUE,New York,NY,11214,FY15,4.2
KCII,14K700,KINGS BAY Y AT NORTH WILLIAMSBURG,14 HOPE STREET,New York,NY,11211,FY15,4.4
XAOT,10X700,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,3101 KINGSBRIDGE TERRACE,New York,NY,10463,FY14,2.7
XALV,10X700,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,295 WEST 231ST STREET,New York,NY,10463,FY14,2.9
XAOR,10X700,KINGSBRIDGE MONTESSORI SCHOOL,2500 JEROME AVENUE,New York,NY,10468,FY15,3.3
QAKY,25Q700,KISSENA CHERRY DAY CARE,14026 CHERRY AVENUE,New York,NY,11355,FY13,4.5
QBGK,26Q700,KON GEN INTERNATIONAL PRESCHOOL,196-29 42ND AVE,New York,NY,11358,FY15,4.8
KCEC,32K700,KREATIVE KARE DAY CARE CENTER,455 WILSON AVENUE (GROUND FLOOR),New York,NY,11221,FY14,4.2
KBGY,32K700,"KREATIVE KARE DAY CARE CENTER, INC.",292 PALMETTO STREET,New York,NY,11237,FY13,4.8
QAZW,30Q700,LA GUARDIA COMMUNITY COLLEGE PRE-SCHOOL,3110 THOMSON AVENUE,New York,NY,11101,FY15,4.7
XAKH,09X700,LABOR BATHGATE COMMUNITY CCC,1638 ANTHONY AVENUE,New York,NY,10457,FY13,2.8
QAXL,29Q700,LAURELTON DAY CARE,14119 224TH STREET,New York,NY,11413,FY15,3.6
QBHN,26Q700,LEADING KIDS PRESCHOOL,44-07 LITTLE NECK PKWY,New York,NY,11363,FY15,5.3
QBIB,28Q700,LEARNING LADDER CENTER,125-19 101 AVENUE,New York,NY,11419,FY15,5.3
XARQ,11X700,LEARNING LADDER DAY CARE CENTER,"100 ALDRICH STREET, BLDG 15A",New York,NY,10475,FY15,4.6
MAPW,04M700,LEGGETT MEMORIAL,237 EAST 104TH STREET,New York,NY,10029,FY14,2.9
RAHA,31R700,LEMON TREE,341 ELVIN STREET,New York,NY,10314,FY15,4
MAMQ,02M700,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70TH STREET,New York,NY,10021,FY15,3.7
MBBE,02M700,LEXINGTON CHILDREN'S CENTER,115 EAST 98TH STREET,New York,NY,10029,FY15,4.2
KBWG,21K700,LIFE- CONEY ISLAND,2757 WEST 33RD STREET,New York,NY,11224,FY14,5.3
MAUQ,02M700,LIGHTHOUSE CDC,111 EAST 59TH STREET,New York,NY,10022,FY14,3.9
X567,11X567,LINDEN TREE ELEMENTARY SCHOOL,1560 PURDY STREET,New York,NY,10462,FY15,4.2
KCHZ,22K700,LITTLE HANDS CREATIVE MINDS,4111 AVE J,New York,NY,11210,FY15,4.1
XASK,07X700,LITTLE HAVEN @ MOTT HAVEN ACADEMY,170 BROWN PLACE,New York,NY,10454,FY15,3.8
KCJA,15K700,"LITTLE NEST COMMUNITY PLAYHOUSE, LLC",216 SEELEY STREET,New York,NY,11218,FY15,2.6
KCKV,15K700,LITTLE NEST PRESCHOOL,511 CHURCH AVENUE,New York,NY,11218,FY15,2.9
XAVJ,12X700,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER,850 JENNINGS STREET,New York,NY,10459,FY14,4.9
MAUF,01M700,LITTLE STAR OF BROOME STREET,151 BROOME STREET,New York,NY,10002,FY15,4.3
XAFG,11X700,LITTLE STARS 3,1420 BURKE AVENUE,New York,NY,10469,FY13,3.9
XAPT,11X700,"LITTLE STARS SCHOOL, INC.",4063 EDSON AVENUE,New York,NY,10466,FY14,3.5
XAHS,11X700,"LITTLE STARS TOO, INC.",1083 ALLERTON AVENUE,New York,NY,10469,FY13,4
KBVZ,13K700,LITTLE SUN PEOPLE,1360 FULTON STREET,New York,NY,11216,FY15,4.1
QALC,25Q700,LITTLE SWEET ANGELS PRESCHOOL,14627 BEECH AVENUE#1B,New York,NY,11355,FY13,4.8
KBQB,20K700,"LONG XING DAY CARE CENTER, INC.","762 59TH STREET, 2/F & 3/F",New York,NY,11220,FY13,5.1
XANT,09X700,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,1240 WEBSTER AVENUE,New York,NY,10456,FY14,3.4
KCJK,20K700,LPBC DAY CARE,7524 14TH AVENUE,New York,NY,11228,FY15,4.4
XAID,09X700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 1,80 EAST 181 STREET,New York,NY,10453,FY14,4
MARB,05M700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 11,110 WEST 146TH STREET,New York,NY,10039,FY14,4.4
MATI,05M700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 12,151-157 W. 136TH STREET,New York,NY,10030,FY15,4.9
MARH,05M700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 13,218 WEST 147TH STREET,New York,NY,10039,FY14,3.8
MATP,06M700,LSSMNY: EARLY LIFE CHILDRENS CENTER 14,510-16 WEST 145TH STREET,New York,NY,10031,FY14,4.1
XAIC,08X700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 2,888 WESTCHESTER AVENUE,New York,NY,10459,FY14,4.6
XALY,09X700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 4,200 WEST TREMONT AVENUE,New York,NY,10453,FY14,4.9
XAGX,08X700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 6,2125 WATSON AVENUE,New York,NY,10472,FY14,3.9
KBJJ,16K700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 8,265 MARCUS GARVEY BOULEVARD,New York,NY,11221,FY14,4.4
KBKE,32K700,LSSMNY: EARLY LIFE CHILDREN'S CENTER 9,1175 GATES AVENUE,New York,NY,11221,FY14,3.7
QARC,27Q700,LUCILLE ROSE DCC,148 BEACH 59TH ST,New York,NY,11692,FY15,3.7
K394,17K394,M.S. K394,188 ROCHESTER AVENUE,New York,NY,11213,FY13,4.2
MAVQ,03M700,MABEL BARRETT FITZGERALD DCC,243 WEST 64TH STREET,New York,NY,10023,FY14,3.4
QAZV,25Q700,MACEDONIA CHILD DEVELOPMENT CENTER,3722 UNION STREET,New York,NY,11354,FY13,4.3
QBJP,30Q700,MAGIC BEANS,43-12 46TH STREET,New York,NY,11104,FY15,4.4
QANR,24Q700,MALCOLM X DAY CARE,11112 NORTHERN BOULEVARD,New York,NY,11368,FY14,3.4
MBBI,06M700,MANHATTAN EARLY CHILDHOOD CENTER,554 FT. WASHINGTON AVENUE,New York,NY,10033,FY13,3.8
MAMZ,02M700,MANHATTAN NURSERY SCHOOL,38 WEST 32ND STREET SUITE 306,New York,NY,10001,FY13,3.6
XAGF,08X700,MANIDA (CENTER #1),711 MANIDA STREET,New York,NY,10474,FY14,3.8
XAOV,10X700,MARC ACADEMY AND FAMILY CENTER,2105 JEROME AVE,New York,NY,10453,FY14,3.7
KBJI,14K700,MARCY CHILDREN'S CENTER,494 MARCY AVENUE,New York,NY,11206,FY14,3.4
KBPC,19K700,MARIE DURDIN CHILD CARE CENTER,2700 LINDEN BOULEVARD,New York,NY,11208,FY14,4.1
QBJC,24Q700,MAROOS PRESCHOOL,4502 82ND STREET,New York,NY,11373,FY15,4.8
QAUJ,25Q700,MARTIN L. KING JR. MEM DCC,3606 PRINCE STREET,New York,NY,11354,FY15,3.5
KBDT,17K700,MARY BOBB LEARNING ACADEMY,1187 NOSTRAND AVE,New York,NY,11225,FY15,3.8
KBNR,16K700,MARY MCLEOD BETHUNE CHILD DEVELOPMENT CENTER,360 PULASKI STREET,New York,NY,11206,FY15,3.8
MAVY,04M700,METRO NORTH CHILDCARE CENTER,304 EAST 102ND STREET,New York,NY,10029,FY15,3.6
QBIH,24Q700,MI NUEVO MUNDO,100-09 39 AVENUE,New York,NY,11368,FY15,5.4
QAKT,24Q700,MI NUEVO MUNDO,100-05 39TH AVENUE,New York,NY,11368,FY13,5.5
QBGR,30Q700,MI NUEVO MUNDO,5102 31ST AVENUE,New York,NY,11377,FY14,5.8
XAQZ,09X700,MID BRONX CCRP ECC 1,1125 GRAND CONCOURSE,New York,NY,10452,FY13,3.3
XAIE,09X700,MID BRONX CCRP ECC 3,1360 OGDEN AVENUE,New York,NY,10452,FY14,3.5
XAHD,09X700,MID BRONX CCRP ECC 4,1020 SUMMIT AVENUE,New York,NY,10452,FY14,2.6
