Site ID,DBN,Site Name,Street Address,City,State,Zip Code,ECERS Most Recent Assessment Year,ECERS Observation Average Score
KBDX,15K700,B.ABOVE WORLDWIDE INSTITUTE - TOMER DEVORAH,4500 9 AVE,New York,NY,11220,FY14,4.1
KBCA,14K700,BABOVE 32,799 KENT AVENUE,New York,NY,11205,FY15,4.5
KCEI,22K700,BAMBI DAY CARE II,2121 BRAGG STREET,New York,NY,11229,FY14,5.1
KBQQ,22K700,BAMBI DAY CARE III,2114 BROWN STREET,New York,NY,11229,FY13,5.6
KABP,18K700,BATTALION CHRISTIAN ACADEMY,780 SCHENECTADY AVE,New York,NY,11203,FY15,3
QANZ,27Q700,BATTALION CHRISTIAN ACADEMY,454 BEACH 67 STREET,New York,NY,11692,FY15,4.5
KBMP,15K700,BAY RIDGE CHILD CARE CENTER,314- 44TH STREET,New York,NY,11220,FY14,3.9
KCHT,19K700,"BAYBEE LOUNGE DAYCARE, INC.",2745 ATLANTIC AVENUE,New York,NY,11207,FY15,3.4
KBEP,15K700,BCA DAY CARE CENTER,713 43RD STREET,New York,NY,11232,FY14,3.8
KBUA,16K700,BCS ATLANTIC AVENUE EARLY LEARNING CENTER,1825 ATLANTIC AVENUE,New York,NY,11233,FY14,4.7
KASJ,13K700,BCS DUFFIELD CHILDREN'S CENTER,101 FLEET PLACE,New York,NY,11201,FY13,4.3
KCBX,18K700,BE ABOVE #26,771 EAST 49 STREET,New York,NY,11203,FY15,2.9
KBBY,18K700,BE ABOVE #27,779 EAST 49 STREET,New York,NY,11203,FY14,3.6
QAPS,29Q700,BE ABOVE 22 (NEW WORLD EDUCATION CENTER),13737 FARMERS BOULEVARD,New York,NY,11434,FY14,4.4
KBJE,17K700,BE ABOVE 37,570 CROWN STREET,New York,NY,11213,FY14,5.3
KBXX,20K700,BE ABOVE 42,1363 50TH STREET,New York,NY,11219,FY14,4.4
KBSX,21K700,BE ABOVE 49,2221 AVENUE R,New York,NY,11229,FY14,2.6
KBSZ,13K700,BE ABOVE 50,87 PUTNAM AVENUE,New York,NY,11238,FY14,4.3
XAIF,10X700,BE ABOVE 52,1810 DAVIDSON AVENUE,New York,NY,10453,FY14,4.9
QAPP,29Q700,BE ABOVE SITE 16,189-26 LINDEN BLVD,New York,NY,11412,FY14,4.5
X077,10X077,BEDFORD PARK ELEMENTARY SCHOOL,3177 WEBSTER AVENUE,New York,NY,10467,FY15,3.7
KAZQ,16K700,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,281 STUYVESANT AVENUE,New York,NY,11221,FY13,4.8
KBNJ,16K700,BEDFORD STUYVESANT ECDC 260,260 JEFFERSON AVENUE,New York,NY,11216,FY15,3.9
KBNK,16K700,BEDFORD STUYVESANT ECDC 262,262 LEXINGTON AVENUE,New York,NY,11216,FY15,4.5
KBNL,16K700,BEDFORD STUYVESANT ECDC 265,813 HANCOCK STREET,New York,NY,11233,FY13,3.9
KBZU,16K700,BEDFORD STUYVESANT ECDC 510,510 QUINCY STREET,New York,NY,11221,FY14,5.2
KBNN,16K700,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,971 DEKALB AVENUE,New York,NY,11221,FY14,3.4
KBNI,16K700,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,214 STUYVESANT AVENUE,New York,NY,11221,FY14,4.2
KBNG,16K700,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,275 MARCUS GARVEY BOULEVARD,New York,NY,11221,FY14,5.1
XAVS,10X700,BEDROCK PRESCHOOL,3220 ARLINGTON AVENUE,New York,NY,10463,FY15,4.1
MAUH,02M700,BELLEVUE-EDUCARE CHILDCARE CENTER,462 FIRST AVENUE,New York,NY,10016,FY14,3.1
QASL,28Q700,BESSIE &NORA'S PLACE,90-05 161ST STREET,New York,NY,11432,FY15,4.1
XAHW,07X700,BETANCES EARLY CHILDHOOD CENTER (NYCHA),528 EAST 146TH STREET,New York,NY,10455,FY15,4.2
QAAB,28Q700,BETH GAVRIEL/SHA'AREI ZION OHEL BRACHA,7524 GRAND CENTRAL PARKWAY,New York,NY,11375,FY15,3.9
KBPN,20K700,BETH JACOB DAY CARE CENTER,1363 46TH STREET,New York,NY,11219,FY14,5
KCDI,20K700,BETH JACOB OF BOROUGH PARK,1371 46 STREET,New York,NY,11219,FY14,4.6
QBJH,27Q700,BETHEL MISSION STATION CHURCH / BETHEL MISSION LOVING DAY CARE CENTER,338 BEACH 56 STREET,New York,NY,11692,FY15,4.7
QATQ,24Q700,BETTER COMMUNITY LIFE DCC 2,13316 ROOSEVELT AVENUE,New York,NY,11354,FY13,3.9
QAVB,27Q700,"BEV'S KIDDIE DAYCARE, INC.",10145 113TH STREET,New York,NY,11419,FY13,4.4
KAXC,16K700,BISHOP SEXTON,933 HERKIMER STREET,New York,NY,11233,FY13,4.8
QAXD,29Q700,"BLANCHE COMMUNITY PROGRESS DAY CARE CENTER, INC.",10960 202ND STREET,New York,NY,11412,FY14,3.9
KBAE,21K700,BLOCK INSTITUTE,133 27TH AVENUE,New York,NY,11214,FY13,3.7
XALQ,08X700,BLONDELL JOYNER DCC,901 TINTON AVENUE,New York,NY,10456,FY14,4.2
MAUZ,03M700,BLOOMINGDALE FAMILY PROGRAM 1,125 WEST 109TH STREET,New York,NY,10025,FY15,3.6
MAVB,03M700,BLOOMINGDALE FAMILY PROGRAM III,987 COLUMBUS AVENUE,New York,NY,10025,FY14,3.8
KCJC,17K700,BLUE STAR DAY CARE CENTER,2217 CATON AVENUE,New York,NY,11226,FY15,5
KCIE,20K700,BNOS CHAYA,4511 14TH AVENUE,New York,NY,11219,FY15,4
KBPA,19K700,BOULEVARD NURSERY SCHOOL,2150 LINDEN BOULEVARD,New York,NY,11207,FY14,3.6
